run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v1-gpt4.1-mini-20260616T205225853153Z-Mbpp-2-r0,019ed234-f27e-7b70-8fd9-07e0e65cddea,019ed234-f27e-7b70-8fd9-07e0e65cddea,,LangGraph,chain,,,2026-06-16T20:52:25.854415Z,2026-06-16T20:52:29.206888Z,3.352473,success,,234,21,255,0.0001272,,,,20260616T205225854415Z019ed234-f27e-7b70-8fd9-07e0e65cddea
v1-gpt4.1-mini-20260616T205225853153Z-Mbpp-2-r0,019ed234-f27e-7b70-8fd9-07e0e65cddea,019ed234-f295-78b2-b928-f39f40b16575,019ed234-f27e-7b70-8fd9-07e0e65cddea,generate_solution,chain,generate_solution,1.0,2026-06-16T20:52:25.877379Z,2026-06-16T20:52:27.701061Z,1.823682,success,,234,21,255,0.0001272,,,,20260616T205225854415Z019ed234-f27e-7b70-8fd9-07e0e65cddea.20260616T205225877379Z019ed234-f295-78b2-b928-f39f40b16575
v1-gpt4.1-mini-20260616T205225853153Z-Mbpp-2-r0,019ed234-f27e-7b70-8fd9-07e0e65cddea,019ed234-f295-78b2-b928-f3a32ba896f9,019ed234-f295-78b2-b928-f39f40b16575,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T20:52:25.877877Z,2026-06-16T20:52:27.700254Z,1.822377,success,,234,21,255,0.0001272,gpt-4.1-mini,openai,chat,20260616T205225854415Z019ed234-f27e-7b70-8fd9-07e0e65cddea.20260616T205225877379Z019ed234-f295-78b2-b928-f39f40b16575.20260616T205225877877Z019ed234-f295-78b2-b928-f3a32ba896f9
v1-gpt4.1-mini-20260616T205225853153Z-Mbpp-2-r0,019ed234-f27e-7b70-8fd9-07e0e65cddea,019ed234-f9b6-7a11-a839-97aa1fb96741,019ed234-f27e-7b70-8fd9-07e0e65cddea,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T20:52:27.702120Z,2026-06-16T20:52:29.206673Z,1.504553,success,,0,0,0,0.0,,,,20260616T205225854415Z019ed234-f27e-7b70-8fd9-07e0e65cddea.20260616T205227702120Z019ed234-f9b6-7a11-a839-97aa1fb96741
v1-gpt4.1-mini-20260616T205225853153Z-Mbpp-2-r0,019ed234-f27e-7b70-8fd9-07e0e65cddea,019ed234-ff96-7f50-8e97-d1a60802f04a,019ed234-f9b6-7a11-a839-97aa1fb96741,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T20:52:29.206173Z,2026-06-16T20:52:29.206572Z,0.000399,success,,0,0,0,0.0,,,,20260616T205225854415Z019ed234-f27e-7b70-8fd9-07e0e65cddea.20260616T205227702120Z019ed234-f9b6-7a11-a839-97aa1fb96741.20260616T205229206173Z019ed234-ff96-7f50-8e97-d1a60802f04a
v1-gpt4.1-mini-20260616T205231918382Z-Mbpp-3-r0,019ed235-0a2e-7512-83d1-3f8e720025a5,019ed235-0a2e-7512-83d1-3f8e720025a5,,LangGraph,chain,,,2026-06-16T20:52:31.918738Z,2026-06-16T20:52:35.236964Z,3.318226,success,,157,85,242,0.0001988,,,,20260616T205231918738Z019ed235-0a2e-7512-83d1-3f8e720025a5
v1-gpt4.1-mini-20260616T205231918382Z-Mbpp-3-r0,019ed235-0a2e-7512-83d1-3f8e720025a5,019ed235-0a2f-7072-bf37-a71138e72256,019ed235-0a2e-7512-83d1-3f8e720025a5,generate_solution,chain,generate_solution,1.0,2026-06-16T20:52:31.919687Z,2026-06-16T20:52:33.836143Z,1.916456,success,,157,85,242,0.0001988,,,,20260616T205231918738Z019ed235-0a2e-7512-83d1-3f8e720025a5.20260616T205231919687Z019ed235-0a2f-7072-bf37-a71138e72256
v1-gpt4.1-mini-20260616T205231918382Z-Mbpp-3-r0,019ed235-0a2e-7512-83d1-3f8e720025a5,019ed235-0a2f-7072-bf37-a7269496bf75,019ed235-0a2f-7072-bf37-a71138e72256,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T20:52:31.919994Z,2026-06-16T20:52:33.835219Z,1.915225,success,,157,85,242,0.0001988,gpt-4.1-mini,openai,chat,20260616T205231918738Z019ed235-0a2e-7512-83d1-3f8e720025a5.20260616T205231919687Z019ed235-0a2f-7072-bf37-a71138e72256.20260616T205231919994Z019ed235-0a2f-7072-bf37-a7269496bf75
v1-gpt4.1-mini-20260616T205231918382Z-Mbpp-3-r0,019ed235-0a2e-7512-83d1-3f8e720025a5,019ed235-11ac-7b80-b78e-8ae2095d1862,019ed235-0a2e-7512-83d1-3f8e720025a5,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T20:52:33.837022Z,2026-06-16T20:52:35.236734Z,1.399712,success,,0,0,0,0.0,,,,20260616T205231918738Z019ed235-0a2e-7512-83d1-3f8e720025a5.20260616T205233837022Z019ed235-11ac-7b80-b78e-8ae2095d1862
v1-gpt4.1-mini-20260616T205231918382Z-Mbpp-3-r0,019ed235-0a2e-7512-83d1-3f8e720025a5,019ed235-1724-7e33-b08b-96abcbb7a759,019ed235-11ac-7b80-b78e-8ae2095d1862,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T20:52:35.236252Z,2026-06-16T20:52:35.236648Z,0.000396,success,,0,0,0,0.0,,,,20260616T205231918738Z019ed235-0a2e-7512-83d1-3f8e720025a5.20260616T205233837022Z019ed235-11ac-7b80-b78e-8ae2095d1862.20260616T205235236252Z019ed235-1724-7e33-b08b-96abcbb7a759
