run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v1-gpt5.5-20260616T210818253237Z-Mbpp-2-r0,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,,LangGraph,chain,,,2026-06-16T21:08:18.254565Z,2026-06-16T21:08:25.416806Z,7.162241,success,,233,189,422,0.006835,,,,20260616T210818254565Z019ed243-7ace-7ee0-8a6b-fe79a0b4ee48
v1-gpt5.5-20260616T210818253237Z-Mbpp-2-r0,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,019ed243-7ae6-79b0-b127-a61c887a4b4e,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,generate_solution,chain,generate_solution,1.0,2026-06-16T21:08:18.278484Z,2026-06-16T21:08:24.128425Z,5.849941,success,,233,189,422,0.006835,,,,20260616T210818254565Z019ed243-7ace-7ee0-8a6b-fe79a0b4ee48.20260616T210818278484Z019ed243-7ae6-79b0-b127-a61c887a4b4e
v1-gpt5.5-20260616T210818253237Z-Mbpp-2-r0,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,019ed243-7ae7-79f3-84d1-3c88b2cd7d9b,019ed243-7ae6-79b0-b127-a61c887a4b4e,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T21:08:18.279097Z,2026-06-16T21:08:24.127504Z,5.848407,success,,233,189,422,0.006835,gpt-5.5,openai,chat,20260616T210818254565Z019ed243-7ace-7ee0-8a6b-fe79a0b4ee48.20260616T210818278484Z019ed243-7ae6-79b0-b127-a61c887a4b4e.20260616T210818279097Z019ed243-7ae7-79f3-84d1-3c88b2cd7d9b
v1-gpt5.5-20260616T210818253237Z-Mbpp-2-r0,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,019ed243-91c1-7ef3-b528-76b9e8aacfa3,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:24.129732Z,2026-06-16T21:08:25.416613Z,1.286881,success,,0,0,0,0.0,,,,20260616T210818254565Z019ed243-7ace-7ee0-8a6b-fe79a0b4ee48.20260616T210824129732Z019ed243-91c1-7ef3-b528-76b9e8aacfa3
v1-gpt5.5-20260616T210818253237Z-Mbpp-2-r0,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,019ed243-96c8-7880-a2db-888987472dfe,019ed243-91c1-7ef3-b528-76b9e8aacfa3,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:25.416175Z,2026-06-16T21:08:25.416520Z,0.000345,success,,0,0,0,0.0,,,,20260616T210818254565Z019ed243-7ace-7ee0-8a6b-fe79a0b4ee48.20260616T210824129732Z019ed243-91c1-7ef3-b528-76b9e8aacfa3.20260616T210825416175Z019ed243-96c8-7880-a2db-888987472dfe
v1-gpt5.5-20260616T210828333834Z-Mbpp-3-r0,019ed243-a22e-7da3-978f-205863b21fdc,019ed243-a22e-7da3-978f-205863b21fdc,,LangGraph,chain,,,2026-06-16T21:08:28.334116Z,2026-06-16T21:08:33.697312Z,5.363196,success,,156,187,343,0.00639,,,,20260616T210828334116Z019ed243-a22e-7da3-978f-205863b21fdc
v1-gpt5.5-20260616T210828333834Z-Mbpp-3-r0,019ed243-a22e-7da3-978f-205863b21fdc,019ed243-a22f-7603-973a-62f38ee7c8b3,019ed243-a22e-7da3-978f-205863b21fdc,generate_solution,chain,generate_solution,1.0,2026-06-16T21:08:28.335005Z,2026-06-16T21:08:32.366989Z,4.031984,success,,156,187,343,0.00639,,,,20260616T210828334116Z019ed243-a22e-7da3-978f-205863b21fdc.20260616T210828335005Z019ed243-a22f-7603-973a-62f38ee7c8b3
v1-gpt5.5-20260616T210828333834Z-Mbpp-3-r0,019ed243-a22e-7da3-978f-205863b21fdc,019ed243-a22f-7603-973a-63055b91206d,019ed243-a22f-7603-973a-62f38ee7c8b3,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T21:08:28.335265Z,2026-06-16T21:08:32.366542Z,4.031277,success,,156,187,343,0.00639,gpt-5.5,openai,chat,20260616T210828334116Z019ed243-a22e-7da3-978f-205863b21fdc.20260616T210828335005Z019ed243-a22f-7603-973a-62f38ee7c8b3.20260616T210828335265Z019ed243-a22f-7603-973a-63055b91206d
v1-gpt5.5-20260616T210828333834Z-Mbpp-3-r0,019ed243-a22e-7da3-978f-205863b21fdc,019ed243-b1ef-77e3-829e-8b9ccafc624f,019ed243-a22e-7da3-978f-205863b21fdc,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:32.367445Z,2026-06-16T21:08:33.697124Z,1.329679,success,,0,0,0,0.0,,,,20260616T210828334116Z019ed243-a22e-7da3-978f-205863b21fdc.20260616T210832367445Z019ed243-b1ef-77e3-829e-8b9ccafc624f
v1-gpt5.5-20260616T210828333834Z-Mbpp-3-r0,019ed243-a22e-7da3-978f-205863b21fdc,019ed243-b720-70c0-be91-b37556cd0e71,019ed243-b1ef-77e3-829e-8b9ccafc624f,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:33.696725Z,2026-06-16T21:08:33.697058Z,0.000333,success,,0,0,0,0.0,,,,20260616T210828334116Z019ed243-a22e-7da3-978f-205863b21fdc.20260616T210832367445Z019ed243-b1ef-77e3-829e-8b9ccafc624f.20260616T210833696725Z019ed243-b720-70c0-be91-b37556cd0e71
v1-gpt5.5-20260616T210836293230Z-Mbpp-4-r0,019ed243-c145-7d01-8b45-31831b69a6ea,019ed243-c145-7d01-8b45-31831b69a6ea,,LangGraph,chain,,,2026-06-16T21:08:36.293498Z,2026-06-16T21:08:41.054168Z,4.76067,success,,286,117,403,0.00494,,,,20260616T210836293498Z019ed243-c145-7d01-8b45-31831b69a6ea
v1-gpt5.5-20260616T210836293230Z-Mbpp-4-r0,019ed243-c145-7d01-8b45-31831b69a6ea,019ed243-c146-7ff0-847a-8dacccbc43df,019ed243-c145-7d01-8b45-31831b69a6ea,generate_solution,chain,generate_solution,1.0,2026-06-16T21:08:36.294264Z,2026-06-16T21:08:39.772027Z,3.477763,success,,286,117,403,0.00494,,,,20260616T210836293498Z019ed243-c145-7d01-8b45-31831b69a6ea.20260616T210836294264Z019ed243-c146-7ff0-847a-8dacccbc43df
v1-gpt5.5-20260616T210836293230Z-Mbpp-4-r0,019ed243-c145-7d01-8b45-31831b69a6ea,019ed243-c146-7ff0-847a-8db6c00ae65e,019ed243-c146-7ff0-847a-8dacccbc43df,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T21:08:36.294492Z,2026-06-16T21:08:39.771313Z,3.476821,success,,286,117,403,0.00494,gpt-5.5,openai,chat,20260616T210836293498Z019ed243-c145-7d01-8b45-31831b69a6ea.20260616T210836294264Z019ed243-c146-7ff0-847a-8dacccbc43df.20260616T210836294492Z019ed243-c146-7ff0-847a-8db6c00ae65e
v1-gpt5.5-20260616T210836293230Z-Mbpp-4-r0,019ed243-c145-7d01-8b45-31831b69a6ea,019ed243-cedc-7781-b808-93719015ae3c,019ed243-c145-7d01-8b45-31831b69a6ea,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:39.772719Z,2026-06-16T21:08:41.053979Z,1.28126,success,,0,0,0,0.0,,,,20260616T210836293498Z019ed243-c145-7d01-8b45-31831b69a6ea.20260616T210839772719Z019ed243-cedc-7781-b808-93719015ae3c
v1-gpt5.5-20260616T210836293230Z-Mbpp-4-r0,019ed243-c145-7d01-8b45-31831b69a6ea,019ed243-d3dd-7972-b36d-eaf92873ad38,019ed243-cedc-7781-b808-93719015ae3c,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:41.053559Z,2026-06-16T21:08:41.053906Z,0.000347,success,,0,0,0,0.0,,,,20260616T210836293498Z019ed243-c145-7d01-8b45-31831b69a6ea.20260616T210839772719Z019ed243-cedc-7781-b808-93719015ae3c.20260616T210841053559Z019ed243-d3dd-7972-b36d-eaf92873ad38
v1-gpt5.5-20260616T210843575486Z-Mbpp-6-r0,019ed243-ddb7-7271-b86d-169b1290477b,019ed243-ddb7-7271-b86d-169b1290477b,,LangGraph,chain,,,2026-06-16T21:08:43.575751Z,2026-06-16T21:08:49.078846Z,5.503095,success,,231,178,409,0.006495,,,,20260616T210843575751Z019ed243-ddb7-7271-b86d-169b1290477b
v1-gpt5.5-20260616T210843575486Z-Mbpp-6-r0,019ed243-ddb7-7271-b86d-169b1290477b,019ed243-ddb8-7cb0-b1ad-9daa4f6bddce,019ed243-ddb7-7271-b86d-169b1290477b,generate_solution,chain,generate_solution,1.0,2026-06-16T21:08:43.576546Z,2026-06-16T21:08:47.799643Z,4.223097,success,,231,178,409,0.006495,,,,20260616T210843575751Z019ed243-ddb7-7271-b86d-169b1290477b.20260616T210843576546Z019ed243-ddb8-7cb0-b1ad-9daa4f6bddce
v1-gpt5.5-20260616T210843575486Z-Mbpp-6-r0,019ed243-ddb7-7271-b86d-169b1290477b,019ed243-ddb8-7cb0-b1ad-9db99fccaed8,019ed243-ddb8-7cb0-b1ad-9daa4f6bddce,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T21:08:43.576784Z,2026-06-16T21:08:47.798803Z,4.222019,success,,231,178,409,0.006495,gpt-5.5,openai,chat,20260616T210843575751Z019ed243-ddb7-7271-b86d-169b1290477b.20260616T210843576546Z019ed243-ddb8-7cb0-b1ad-9daa4f6bddce.20260616T210843576784Z019ed243-ddb8-7cb0-b1ad-9db99fccaed8
v1-gpt5.5-20260616T210843575486Z-Mbpp-6-r0,019ed243-ddb7-7271-b86d-169b1290477b,019ed243-ee38-7bb0-a8bf-4df2f9011a3e,019ed243-ddb7-7271-b86d-169b1290477b,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:47.800432Z,2026-06-16T21:08:49.078653Z,1.278221,success,,0,0,0,0.0,,,,20260616T210843575751Z019ed243-ddb7-7271-b86d-169b1290477b.20260616T210847800432Z019ed243-ee38-7bb0-a8bf-4df2f9011a3e
v1-gpt5.5-20260616T210843575486Z-Mbpp-6-r0,019ed243-ddb7-7271-b86d-169b1290477b,019ed243-f336-7042-8e38-7bf8c89ed733,019ed243-ee38-7bb0-a8bf-4df2f9011a3e,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:49.078239Z,2026-06-16T21:08:49.078581Z,0.000342,success,,0,0,0,0.0,,,,20260616T210843575751Z019ed243-ddb7-7271-b86d-169b1290477b.20260616T210847800432Z019ed243-ee38-7bb0-a8bf-4df2f9011a3e.20260616T210849078239Z019ed243-f336-7042-8e38-7bf8c89ed733
v1-gpt5.5-20260616T210851599111Z-Mbpp-7-r0,019ed243-fd0f-71b2-8f59-7099c2652922,019ed243-fd0f-71b2-8f59-7099c2652922,,LangGraph,chain,,,2026-06-16T21:08:51.599380Z,2026-06-16T21:09:00.605052Z,9.005672,success,,211,240,451,0.008255,,,,20260616T210851599380Z019ed243-fd0f-71b2-8f59-7099c2652922
v1-gpt5.5-20260616T210851599111Z-Mbpp-7-r0,019ed243-fd0f-71b2-8f59-7099c2652922,019ed243-fd10-7ba3-85b1-9278ab5cd3fa,019ed243-fd0f-71b2-8f59-7099c2652922,generate_solution,chain,generate_solution,1.0,2026-06-16T21:08:51.600165Z,2026-06-16T21:08:59.275185Z,7.67502,success,,211,240,451,0.008255,,,,20260616T210851599380Z019ed243-fd0f-71b2-8f59-7099c2652922.20260616T210851600165Z019ed243-fd10-7ba3-85b1-9278ab5cd3fa
v1-gpt5.5-20260616T210851599111Z-Mbpp-7-r0,019ed243-fd0f-71b2-8f59-7099c2652922,019ed243-fd10-7ba3-85b1-928b70407eb4,019ed243-fd10-7ba3-85b1-9278ab5cd3fa,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T21:08:51.600380Z,2026-06-16T21:08:59.274236Z,7.673856,success,,211,240,451,0.008255,gpt-5.5,openai,chat,20260616T210851599380Z019ed243-fd0f-71b2-8f59-7099c2652922.20260616T210851600165Z019ed243-fd10-7ba3-85b1-9278ab5cd3fa.20260616T210851600380Z019ed243-fd10-7ba3-85b1-928b70407eb4
v1-gpt5.5-20260616T210851599111Z-Mbpp-7-r0,019ed243-fd0f-71b2-8f59-7099c2652922,019ed244-1b0b-7d73-86b7-a3a361c52fc6,019ed243-fd0f-71b2-8f59-7099c2652922,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T21:08:59.275929Z,2026-06-16T21:09:00.604872Z,1.328943,success,,0,0,0,0.0,,,,20260616T210851599380Z019ed243-fd0f-71b2-8f59-7099c2652922.20260616T210859275929Z019ed244-1b0b-7d73-86b7-a3a361c52fc6
v1-gpt5.5-20260616T210851599111Z-Mbpp-7-r0,019ed243-fd0f-71b2-8f59-7099c2652922,019ed244-203c-76e3-932d-6c8e249d53fb,019ed244-1b0b-7d73-86b7-a3a361c52fc6,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T21:09:00.604470Z,2026-06-16T21:09:00.604799Z,0.000329,success,,0,0,0,0.0,,,,20260616T210851599380Z019ed243-fd0f-71b2-8f59-7099c2652922.20260616T210859275929Z019ed244-1b0b-7d73-86b7-a3a361c52fc6.20260616T210900604470Z019ed244-203c-76e3-932d-6c8e249d53fb
v1-gpt5.5-20260616T210903199089Z-Mbpp-8-r0,019ed244-2a5f-7553-b605-ba26fb944e14,019ed244-2a5f-7553-b605-ba26fb944e14,,LangGraph,chain,,,2026-06-16T21:09:03.199365Z,2026-06-16T21:09:06.926881Z,3.727516,success,,257,52,309,0.002845,,,,20260616T210903199365Z019ed244-2a5f-7553-b605-ba26fb944e14
v1-gpt5.5-20260616T210903199089Z-Mbpp-8-r0,019ed244-2a5f-7553-b605-ba26fb944e14,019ed244-2a60-7df0-8817-4af934d506ad,019ed244-2a5f-7553-b605-ba26fb944e14,generate_solution,chain,generate_solution,1.0,2026-06-16T21:09:03.200201Z,2026-06-16T21:09:05.504504Z,2.304303,success,,257,52,309,0.002845,,,,20260616T210903199365Z019ed244-2a5f-7553-b605-ba26fb944e14.20260616T210903200201Z019ed244-2a60-7df0-8817-4af934d506ad
v1-gpt5.5-20260616T210903199089Z-Mbpp-8-r0,019ed244-2a5f-7553-b605-ba26fb944e14,019ed244-2a60-7df0-8817-4b0ce279f9bc,019ed244-2a60-7df0-8817-4af934d506ad,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T21:09:03.200439Z,2026-06-16T21:09:05.503726Z,2.303287,success,,257,52,309,0.002845,gpt-5.5,openai,chat,20260616T210903199365Z019ed244-2a5f-7553-b605-ba26fb944e14.20260616T210903200201Z019ed244-2a60-7df0-8817-4af934d506ad.20260616T210903200439Z019ed244-2a60-7df0-8817-4b0ce279f9bc
v1-gpt5.5-20260616T210903199089Z-Mbpp-8-r0,019ed244-2a5f-7553-b605-ba26fb944e14,019ed244-3361-70e2-b423-8064672d2e02,019ed244-2a5f-7553-b605-ba26fb944e14,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T21:09:05.505245Z,2026-06-16T21:09:06.926688Z,1.421443,success,,0,0,0,0.0,,,,20260616T210903199365Z019ed244-2a5f-7553-b605-ba26fb944e14.20260616T210905505245Z019ed244-3361-70e2-b423-8064672d2e02
v1-gpt5.5-20260616T210903199089Z-Mbpp-8-r0,019ed244-2a5f-7553-b605-ba26fb944e14,019ed244-38ee-7873-89c0-8195ca43f58f,019ed244-3361-70e2-b423-8064672d2e02,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T21:09:06.926284Z,2026-06-16T21:09:06.926616Z,0.000332,success,,0,0,0,0.0,,,,20260616T210903199365Z019ed244-2a5f-7553-b605-ba26fb944e14.20260616T210905505245Z019ed244-3361-70e2-b423-8064672d2e02.20260616T210906926284Z019ed244-38ee-7873-89c0-8195ca43f58f
v1-gpt5.5-20260616T210909458362Z-Mbpp-9-r0,019ed244-42d2-78a1-9a53-abcaf90692c0,019ed244-42d2-78a1-9a53-abcaf90692c0,,LangGraph,chain,,,2026-06-16T21:09:09.458636Z,2026-06-16T21:09:21.385360Z,11.926724,success,,158,439,597,0.01396,,,,20260616T210909458636Z019ed244-42d2-78a1-9a53-abcaf90692c0
v1-gpt5.5-20260616T210909458362Z-Mbpp-9-r0,019ed244-42d2-78a1-9a53-abcaf90692c0,019ed244-42d3-77a0-bfb3-fb81ad54d9ef,019ed244-42d2-78a1-9a53-abcaf90692c0,generate_solution,chain,generate_solution,1.0,2026-06-16T21:09:09.459442Z,2026-06-16T21:09:20.027407Z,10.567965,success,,158,439,597,0.01396,,,,20260616T210909458636Z019ed244-42d2-78a1-9a53-abcaf90692c0.20260616T210909459442Z019ed244-42d3-77a0-bfb3-fb81ad54d9ef
v1-gpt5.5-20260616T210909458362Z-Mbpp-9-r0,019ed244-42d2-78a1-9a53-abcaf90692c0,019ed244-42d3-77a0-bfb3-fb93c5c16fff,019ed244-42d3-77a0-bfb3-fb81ad54d9ef,ChatOpenAI,llm,generate_solution,1.0,2026-06-16T21:09:09.459679Z,2026-06-16T21:09:20.026485Z,10.566806,success,,158,439,597,0.01396,gpt-5.5,openai,chat,20260616T210909458636Z019ed244-42d2-78a1-9a53-abcaf90692c0.20260616T210909459442Z019ed244-42d3-77a0-bfb3-fb81ad54d9ef.20260616T210909459679Z019ed244-42d3-77a0-bfb3-fb93c5c16fff
