run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-9ba1-74f2-b39d-b209758b57ab,,LangGraph,chain,,,2026-06-20T19:54:47.073871Z,2026-06-20T19:55:00.882730Z,13.808859,success,,1685,511,2196,0.000648,,,,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-9bbd-75f3-bdce-a2af616ecf09,019ee699-9ba1-74f2-b39d-b209758b57ab,understand_and_plan,chain,understand_and_plan,1.0,2026-06-20T19:54:47.101786Z,2026-06-20T19:54:54.546092Z,7.444306,success,,135,256,391,0.0,,,,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195447101786Z019ee699-9bbd-75f3-bdce-a2af616ecf09
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-9bbe-7051-b7f9-8b3ca8088d90,019ee699-9bbd-75f3-bdce-a2af616ecf09,ChatOllama,llm,understand_and_plan,1.0,2026-06-20T19:54:47.102267Z,2026-06-20T19:54:54.543332Z,7.441065,success,,135,256,391,0.0,qwen3.5:2b,ollama,chat,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195447101786Z019ee699-9bbd-75f3-bdce-a2af616ecf09.20260620T195447102267Z019ee699-9bbe-7051-b7f9-8b3ca8088d90
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-b8d5-77f1-b016-7a1b0f637588,019ee699-9ba1-74f2-b39d-b209758b57ab,implement_solution,chain,implement_solution,2.0,2026-06-20T19:54:54.549823Z,2026-06-20T19:54:56.635064Z,2.085241,success,,386,20,406,0.0001864,,,,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195454549823Z019ee699-b8d5-77f1-b016-7a1b0f637588
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-b8d9-7681-9972-359006017b1f,019ee699-b8d5-77f1-b016-7a1b0f637588,ChatOpenAI,llm,implement_solution,2.0,2026-06-20T19:54:54.553044Z,2026-06-20T19:54:56.634646Z,2.081602,success,,386,20,406,0.0001864,gpt-4.1-mini,openai,chat,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195454549823Z019ee699-b8d5-77f1-b016-7a1b0f637588.20260620T195454553044Z019ee699-b8d9-7681-9972-359006017b1f
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-c0fb-7f33-8092-ed76ac2b1105,019ee699-9ba1-74f2-b39d-b209758b57ab,generate_tests,chain,generate_tests,3.0,2026-06-20T19:54:56.635611Z,2026-06-20T19:54:59.202086Z,2.566475,success,,410,186,596,0.0004616,,,,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195456635611Z019ee699-c0fb-7f33-8092-ed76ac2b1105
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-c0fc-7e41-a807-57c628feb525,019ee699-c0fb-7f33-8092-ed76ac2b1105,ChatOpenAI,llm,generate_tests,3.0,2026-06-20T19:54:56.636213Z,2026-06-20T19:54:59.201320Z,2.565107,success,,410,186,596,0.0004616,gpt-4.1-mini,openai,chat,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195456635611Z019ee699-c0fb-7f33-8092-ed76ac2b1105.20260620T195456636213Z019ee699-c0fc-7e41-a807-57c628feb525
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-cb02-7b61-a298-d07edd968f38,019ee699-9ba1-74f2-b39d-b209758b57ab,run_tests,chain,run_tests,4.0,2026-06-20T19:54:59.202769Z,2026-06-20T19:54:59.246774Z,0.044005,success,,0,0,0,0.0,,,,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195459202769Z019ee699-cb02-7b61-a298-d07edd968f38
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-cb2f-7fb3-9247-744ed3c1e86c,019ee699-9ba1-74f2-b39d-b209758b57ab,review_solution,chain,review_solution,5.0,2026-06-20T19:54:59.247709Z,2026-06-20T19:55:00.882306Z,1.634597,success,,754,49,803,0.0,,,,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195459247709Z019ee699-cb2f-7fb3-9247-744ed3c1e86c
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-cb30-7331-96be-9215cd5697e5,019ee699-cb2f-7fb3-9247-744ed3c1e86c,ChatOllama,llm,review_solution,5.0,2026-06-20T19:54:59.248263Z,2026-06-20T19:55:00.880212Z,1.631949,success,,754,49,803,0.0,qwen3.5:2b,ollama,chat,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195459247709Z019ee699-cb2f-7fb3-9247-744ed3c1e86c.20260620T195459248263Z019ee699-cb30-7331-96be-9215cd5697e5
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195447072396Z-Mbpp-2-r0,019ee699-9ba1-74f2-b39d-b209758b57ab,019ee699-d191-7f11-9fda-00ae593a10ca,019ee699-cb2f-7fb3-9247-744ed3c1e86c,decide_after_review,chain,review_solution,5.0,2026-06-20T19:55:00.881551Z,2026-06-20T19:55:00.882045Z,0.000494,success,,0,0,0,0.0,,,,20260620T195447073871Z019ee699-9ba1-74f2-b39d-b209758b57ab.20260620T195459247709Z019ee699-cb2f-7fb3-9247-744ed3c1e86c.20260620T195500881551Z019ee699-d191-7f11-9fda-00ae593a10ca
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-ddfa-7b43-a56c-7b7113215b6d,,LangGraph,chain,,,2026-06-20T19:55:04.058915Z,2026-06-20T19:55:13.740763Z,9.681848,success,,1651,503,2154,0.000662,,,,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-ddfb-7bc1-b495-c5eb992b3400,019ee699-ddfa-7b43-a56c-7b7113215b6d,understand_and_plan,chain,understand_and_plan,1.0,2026-06-20T19:55:04.059820Z,2026-06-20T19:55:08.785713Z,4.725893,success,,105,256,361,0.0,,,,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195504059820Z019ee699-ddfb-7bc1-b495-c5eb992b3400
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-ddfc-7102-bb5e-0d013e6eefe8,019ee699-ddfb-7bc1-b495-c5eb992b3400,ChatOllama,llm,understand_and_plan,1.0,2026-06-20T19:55:04.060030Z,2026-06-20T19:55:08.785137Z,4.725107,success,,105,256,361,0.0,qwen3.5:2b,ollama,chat,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195504059820Z019ee699-ddfb-7bc1-b495-c5eb992b3400.20260620T195504060030Z019ee699-ddfc-7102-bb5e-0d013e6eefe8
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-f072-7b43-84f9-1aa24f716bec,019ee699-ddfa-7b43-a56c-7b7113215b6d,implement_solution,chain,implement_solution,2.0,2026-06-20T19:55:08.786328Z,2026-06-20T19:55:10.513489Z,1.727161,success,,362,90,452,0.0002888,,,,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195508786328Z019ee699-f072-7b43-84f9-1aa24f716bec
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-f072-7b43-84f9-1ab23457dfa9,019ee699-f072-7b43-84f9-1aa24f716bec,ChatOpenAI,llm,implement_solution,2.0,2026-06-20T19:55:08.786961Z,2026-06-20T19:55:10.512691Z,1.72573,success,,362,90,452,0.0002888,gpt-4.1-mini,openai,chat,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195508786328Z019ee699-f072-7b43-84f9-1aa24f716bec.20260620T195508786961Z019ee699-f072-7b43-84f9-1ab23457dfa9
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-f732-7f33-a40e-c790edb7583a,019ee699-ddfa-7b43-a56c-7b7113215b6d,generate_tests,chain,generate_tests,3.0,2026-06-20T19:55:10.514371Z,2026-06-20T19:55:12.287948Z,1.773577,success,,457,119,576,0.0003732,,,,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195510514371Z019ee699-f732-7f33-a40e-c790edb7583a
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-f733-7843-8748-779e849cbbb1,019ee699-f732-7f33-a40e-c790edb7583a,ChatOpenAI,llm,generate_tests,3.0,2026-06-20T19:55:10.515109Z,2026-06-20T19:55:12.287174Z,1.772065,success,,457,119,576,0.0003732,gpt-4.1-mini,openai,chat,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195510514371Z019ee699-f732-7f33-a40e-c790edb7583a.20260620T195510515109Z019ee699-f733-7843-8748-779e849cbbb1
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-fe20-7233-a579-f2335af29342,019ee699-ddfa-7b43-a56c-7b7113215b6d,run_tests,chain,run_tests,4.0,2026-06-20T19:55:12.288846Z,2026-06-20T19:55:12.334523Z,0.045677,success,,0,0,0,0.0,,,,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195512288846Z019ee699-fe20-7233-a579-f2335af29342
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-fe4f-78f3-90da-60c0382a62e2,019ee699-ddfa-7b43-a56c-7b7113215b6d,review_solution,chain,review_solution,5.0,2026-06-20T19:55:12.335241Z,2026-06-20T19:55:13.740344Z,1.405103,success,,727,38,765,0.0,,,,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195512335241Z019ee699-fe4f-78f3-90da-60c0382a62e2
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee699-fe4f-78f3-90da-60da71d3db57,019ee699-fe4f-78f3-90da-60c0382a62e2,ChatOllama,llm,review_solution,5.0,2026-06-20T19:55:12.335663Z,2026-06-20T19:55:13.738445Z,1.402782,success,,727,38,765,0.0,qwen3.5:2b,ollama,chat,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195512335241Z019ee699-fe4f-78f3-90da-60c0382a62e2.20260620T195512335663Z019ee699-fe4f-78f3-90da-60da71d3db57
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195504058635Z-Mbpp-3-r0,019ee699-ddfa-7b43-a56c-7b7113215b6d,019ee69a-03cb-7613-a8d0-d845be087270,019ee699-fe4f-78f3-90da-60c0382a62e2,decide_after_review,chain,review_solution,5.0,2026-06-20T19:55:13.739678Z,2026-06-20T19:55:13.740132Z,0.000454,success,,0,0,0,0.0,,,,20260620T195504058915Z019ee699-ddfa-7b43-a56c-7b7113215b6d.20260620T195512335241Z019ee699-fe4f-78f3-90da-60c0382a62e2.20260620T195513739678Z019ee69a-03cb-7613-a8d0-d845be087270
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195516318054Z-Mbpp-4-r0,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,,LangGraph,chain,,,2026-06-20T19:55:16.318331Z,2026-06-20T19:55:26.865390Z,10.547059,success,,1844,536,2380,0.0007076,,,,20260620T195516318331Z019ee69a-0dde-7ad1-bb3b-a682b3fbdb39
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195516318054Z-Mbpp-4-r0,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,019ee69a-0ddf-7a83-bf5d-0860319f251e,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,understand_and_plan,chain,understand_and_plan,1.0,2026-06-20T19:55:16.319166Z,2026-06-20T19:55:21.223789Z,4.904623,success,,163,256,419,0.0,,,,20260620T195516318331Z019ee69a-0dde-7ad1-bb3b-a682b3fbdb39.20260620T195516319166Z019ee69a-0ddf-7a83-bf5d-0860319f251e
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195516318054Z-Mbpp-4-r0,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,019ee69a-0ddf-7a83-bf5d-087a56b7d9c6,019ee69a-0ddf-7a83-bf5d-0860319f251e,ChatOllama,llm,understand_and_plan,1.0,2026-06-20T19:55:16.319369Z,2026-06-20T19:55:21.222967Z,4.903598,success,,163,256,419,0.0,qwen3.5:2b,ollama,chat,20260620T195516318331Z019ee69a-0dde-7ad1-bb3b-a682b3fbdb39.20260620T195516319166Z019ee69a-0ddf-7a83-bf5d-0860319f251e.20260620T195516319369Z019ee69a-0ddf-7a83-bf5d-087a56b7d9c6
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195516318054Z-Mbpp-4-r0,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,019ee69a-2108-7872-aecc-f76c424ddf76,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,implement_solution,chain,implement_solution,2.0,2026-06-20T19:55:21.224652Z,2026-06-20T19:55:22.898046Z,1.673394,success,,404,45,449,0.0002336,,,,20260620T195516318331Z019ee69a-0dde-7ad1-bb3b-a682b3fbdb39.20260620T195521224652Z019ee69a-2108-7872-aecc-f76c424ddf76
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195516318054Z-Mbpp-4-r0,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,019ee69a-2109-7d82-8c8c-8318464928dd,019ee69a-2108-7872-aecc-f76c424ddf76,ChatOpenAI,llm,implement_solution,2.0,2026-06-20T19:55:21.225261Z,2026-06-20T19:55:22.897164Z,1.671903,success,,404,45,449,0.0002336,gpt-4.1-mini,openai,chat,20260620T195516318331Z019ee69a-0dde-7ad1-bb3b-a682b3fbdb39.20260620T195521224652Z019ee69a-2108-7872-aecc-f76c424ddf76.20260620T195521225261Z019ee69a-2109-7d82-8c8c-8318464928dd
v2-gpt-4.1-mini-qwen3.5-2b-20260620T195516318054Z-Mbpp-4-r0,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,019ee69a-2792-7f53-ba5d-e050e4409d61,019ee69a-0dde-7ad1-bb3b-a682b3fbdb39,generate_tests,chain,generate_tests,3.0,2026-06-20T19:55:22.898945Z,2026-06-20T19:55:25.095594Z,2.196649,success,,453,183,636,0.000474,,,,20260620T195516318331Z019ee69a-0dde-7ad1-bb3b-a682b3fbdb39.20260620T195522898945Z019ee69a-2792-7f53-ba5d-e050e4409d61
