run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,,LangGraph,chain,,,2026-06-20T20:22:05.777241Z,2026-06-20T20:22:19.336318Z,13.559077,success,,1631,654,2285,0.014315,,,,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-9ce8-73d0-83ba-9268a12a59ff,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,understand_and_plan,chain,understand_and_plan,1.0,2026-06-20T20:22:05.800140Z,2026-06-20T20:22:12.157609Z,6.357469,success,,135,256,391,0.0,,,,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202205800140Z019ee6b2-9ce8-73d0-83ba-9268a12a59ff
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-9ce8-73d0-83ba-927df46a7156,019ee6b2-9ce8-73d0-83ba-9268a12a59ff,ChatOllama,llm,understand_and_plan,1.0,2026-06-20T20:22:05.800558Z,2026-06-20T20:22:12.157125Z,6.356567,success,,135,256,391,0.0,qwen3.5:2b,ollama,chat,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202205800140Z019ee6b2-9ce8-73d0-83ba-9268a12a59ff.20260620T202205800558Z019ee6b2-9ce8-73d0-83ba-927df46a7156
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-b5be-7051-b549-7b9e5e42ea5a,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,implement_solution,chain,implement_solution,2.0,2026-06-20T20:22:12.158265Z,2026-06-20T20:22:14.326009Z,2.167744,success,,385,126,511,0.005705,,,,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202212158265Z019ee6b2-b5be-7051-b549-7b9e5e42ea5a
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-b5bf-7cb3-b2bc-5b3366d4e956,019ee6b2-b5be-7051-b549-7b9e5e42ea5a,ChatOpenAI,llm,implement_solution,2.0,2026-06-20T20:22:12.159026Z,2026-06-20T20:22:14.325624Z,2.166598,success,,385,126,511,0.005705,gpt-5.5,openai,chat,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202212158265Z019ee6b2-b5be-7051-b549-7b9e5e42ea5a.20260620T202212159026Z019ee6b2-b5bf-7cb3-b2bc-5b3366d4e956
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-be36-7e81-aaa3-cd822ed7728d,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,generate_tests,chain,generate_tests,3.0,2026-06-20T20:22:14.326608Z,2026-06-20T20:22:17.636579Z,3.309971,success,,408,219,627,0.00861,,,,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202214326608Z019ee6b2-be36-7e81-aaa3-cd822ed7728d
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-be37-7fc0-9a7b-b787378562d4,019ee6b2-be36-7e81-aaa3-cd822ed7728d,ChatOpenAI,llm,generate_tests,3.0,2026-06-20T20:22:14.327262Z,2026-06-20T20:22:17.635609Z,3.308347,success,,408,219,627,0.00861,gpt-5.5,openai,chat,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202214326608Z019ee6b2-be36-7e81-aaa3-cd822ed7728d.20260620T202214327262Z019ee6b2-be37-7fc0-9a7b-b787378562d4
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-cb25-7292-aef5-8de851c95ab7,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,run_tests,chain,run_tests,4.0,2026-06-20T20:22:17.637773Z,2026-06-20T20:22:17.690456Z,0.052683,success,,0,0,0,0.0,,,,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202217637773Z019ee6b2-cb25-7292-aef5-8de851c95ab7
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-cb5b-7663-bf6a-cf7d9e5ad4b2,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,review_solution,chain,review_solution,5.0,2026-06-20T20:22:17.691087Z,2026-06-20T20:22:19.336041Z,1.644954,success,,703,53,756,0.0,,,,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202217691087Z019ee6b2-cb5b-7663-bf6a-cf7d9e5ad4b2
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-cb5b-7663-bf6a-cf89a5bee01b,019ee6b2-cb5b-7663-bf6a-cf7d9e5ad4b2,ChatOllama,llm,review_solution,5.0,2026-06-20T20:22:17.691635Z,2026-06-20T20:22:19.334932Z,1.643297,success,,703,53,756,0.0,qwen3.5:2b,ollama,chat,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202217691087Z019ee6b2-cb5b-7663-bf6a-cf7d9e5ad4b2.20260620T202217691635Z019ee6b2-cb5b-7663-bf6a-cf89a5bee01b
v2-gpt-5.5-qwen3.5-2b-20260620T202205775971Z-Mbpp-2-r0,019ee6b2-9cd1-72c3-b8e5-73b80babd6ba,019ee6b2-d1c7-7cf2-9150-0c679ffc1634,019ee6b2-cb5b-7663-bf6a-cf7d9e5ad4b2,decide_after_review,chain,review_solution,5.0,2026-06-20T20:22:19.335554Z,2026-06-20T20:22:19.335838Z,0.000284,success,,0,0,0,0.0,,,,20260620T202205777241Z019ee6b2-9cd1-72c3-b8e5-73b80babd6ba.20260620T202217691087Z019ee6b2-cb5b-7663-bf6a-cf7d9e5ad4b2.20260620T202219335554Z019ee6b2-d1c7-7cf2-9150-0c679ffc1634
