run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-cc8f-7ac2-9871-a74bdeb831db,,LangGraph,chain,,,2026-06-18T21:15:30.831380Z,2026-06-18T21:15:42.815576Z,11.984196,success,,1787,564,2351,0.0,,,,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-ccab-7750-b612-08f9dcaf8b2d,019edc96-cc8f-7ac2-9871-a74bdeb831db,understand_and_plan,chain,understand_and_plan,1.0,2026-06-18T21:15:30.859229Z,2026-06-18T21:15:35.642957Z,4.783728,success,,135,256,391,0.0,,,,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211530859229Z019edc96-ccab-7750-b612-08f9dcaf8b2d
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-ccab-7750-b612-0909af3c957d,019edc96-ccab-7750-b612-08f9dcaf8b2d,ChatOllama,llm,understand_and_plan,1.0,2026-06-18T21:15:30.859733Z,2026-06-18T21:15:35.641326Z,4.781593,success,,135,256,391,0.0,qwen3.5:2b,ollama,chat,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211530859229Z019edc96-ccab-7750-b612-08f9dcaf8b2d.20260618T211530859733Z019edc96-ccab-7750-b612-0909af3c957d
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-df5b-7db1-a48d-40fc8cf39da9,019edc96-cc8f-7ac2-9871-a74bdeb831db,implement_solution,chain,implement_solution,2.0,2026-06-18T21:15:35.643986Z,2026-06-18T21:15:36.783487Z,1.139501,success,,416,41,457,0.0,,,,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211535643986Z019edc96-df5b-7db1-a48d-40fc8cf39da9
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-df5c-7490-8747-9197581ac29d,019edc96-df5b-7db1-a48d-40fc8cf39da9,ChatOllama,llm,implement_solution,2.0,2026-06-18T21:15:35.644738Z,2026-06-18T21:15:36.782556Z,1.137818,success,,416,41,457,0.0,qwen3.5:2b,ollama,chat,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211535643986Z019edc96-df5b-7db1-a48d-40fc8cf39da9.20260618T211535644738Z019edc96-df5c-7490-8747-9197581ac29d
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-e3d0-7ed3-ae8c-70657f2920eb,019edc96-cc8f-7ac2-9871-a74bdeb831db,generate_tests,chain,generate_tests,3.0,2026-06-18T21:15:36.784723Z,2026-06-18T21:15:41.123118Z,4.338395,success,,453,216,669,0.0,,,,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211536784723Z019edc96-e3d0-7ed3-ae8c-70657f2920eb
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-e3d1-72d3-b18f-789d2c0a87ad,019edc96-e3d0-7ed3-ae8c-70657f2920eb,ChatOllama,llm,generate_tests,3.0,2026-06-18T21:15:36.785536Z,2026-06-18T21:15:41.122113Z,4.336577,success,,453,216,669,0.0,qwen3.5:2b,ollama,chat,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211536784723Z019edc96-e3d0-7ed3-ae8c-70657f2920eb.20260618T211536785536Z019edc96-e3d1-72d3-b18f-789d2c0a87ad
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-f4c4-7932-a931-16c5ad08a018,019edc96-cc8f-7ac2-9871-a74bdeb831db,run_tests,chain,run_tests,4.0,2026-06-18T21:15:41.124374Z,2026-06-18T21:15:41.174218Z,0.049844,success,,0,0,0,0.0,,,,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211541124374Z019edc96-f4c4-7932-a931-16c5ad08a018
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-f4f6-7d61-ad74-a1642c3544f6,019edc96-cc8f-7ac2-9871-a74bdeb831db,review_solution,chain,review_solution,5.0,2026-06-18T21:15:41.174969Z,2026-06-18T21:15:42.815211Z,1.640242,success,,783,51,834,0.0,,,,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211541174969Z019edc96-f4f6-7d61-ad74-a1642c3544f6
v2.1-qwen3.5-2b-20260618T211530829456Z-Mbpp-2-r0,019edc96-cc8f-7ac2-9871-a74bdeb831db,019edc96-f4f7-77d3-97f0-2805b9ed9599,019edc96-f4f6-7d61-ad74-a1642c3544f6,ChatOllama,llm,review_solution,5.0,2026-06-18T21:15:41.175470Z,2026-06-18T21:15:42.813692Z,1.638222,success,,783,51,834,0.0,qwen3.5:2b,ollama,chat,20260618T211530831380Z019edc96-cc8f-7ac2-9871-a74bdeb831db.20260618T211541174969Z019edc96-f4f6-7d61-ad74-a1642c3544f6.20260618T211541175470Z019edc96-f4f7-77d3-97f0-2805b9ed9599
