run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-32ba-76f1-934b-fb37681967da,,LangGraph,chain,,,2026-06-18T19:56:12.858846Z,2026-06-18T19:56:28.605272Z,15.746426,success,,1388,605,1993,0.02509,,,,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-32d8-7b70-a5af-6d195a1d474c,019edc4e-32ba-76f1-934b-fb37681967da,understand_and_plan,chain,understand_and_plan,1.0,2026-06-18T19:56:12.888032Z,2026-06-18T19:56:19.654897Z,6.766865,success,,122,253,375,0.0082,,,,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195612888032Z019edc4e-32d8-7b70-a5af-6d195a1d474c
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-32d8-7b70-a5af-6d2ccef8919a,019edc4e-32d8-7b70-a5af-6d195a1d474c,ChatOpenAI,llm,understand_and_plan,1.0,2026-06-18T19:56:12.888618Z,2026-06-18T19:56:19.653044Z,6.764426,success,,122,253,375,0.0082,gpt-5.5,openai,chat,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195612888032Z019edc4e-32d8-7b70-a5af-6d195a1d474c.20260618T195612888618Z019edc4e-32d8-7b70-a5af-6d2ccef8919a
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-4d47-7411-8abf-820b5d2abd76,019edc4e-32ba-76f1-934b-fb37681967da,implement_solution,chain,implement_solution,2.0,2026-06-18T19:56:19.655750Z,2026-06-18T19:56:21.817988Z,2.162238,success,,325,54,379,0.003245,,,,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195619655750Z019edc4e-4d47-7411-8abf-820b5d2abd76
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-4d48-76d1-ac5d-52b6c3ef80fa,019edc4e-4d47-7411-8abf-820b5d2abd76,ChatOpenAI,llm,implement_solution,2.0,2026-06-18T19:56:19.656574Z,2026-06-18T19:56:21.817535Z,2.160961,success,,325,54,379,0.003245,gpt-5.5,openai,chat,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195619655750Z019edc4e-4d47-7411-8abf-820b5d2abd76.20260618T195619656574Z019edc4e-4d48-76d1-ac5d-52b6c3ef80fa
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-55ba-75e2-97cb-c213234a5151,019edc4e-32ba-76f1-934b-fb37681967da,generate_tests,chain,generate_tests,3.0,2026-06-18T19:56:21.818633Z,2026-06-18T19:56:26.142995Z,4.324362,success,,348,213,561,0.00813,,,,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195621818633Z019edc4e-55ba-75e2-97cb-c213234a5151
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-55bb-7930-9d61-6ca8b274fd2a,019edc4e-55ba-75e2-97cb-c213234a5151,ChatOpenAI,llm,generate_tests,3.0,2026-06-18T19:56:21.819288Z,2026-06-18T19:56:26.142168Z,4.32288,success,,348,213,561,0.00813,gpt-5.5,openai,chat,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195621818633Z019edc4e-55ba-75e2-97cb-c213234a5151.20260618T195621819288Z019edc4e-55bb-7930-9d61-6ca8b274fd2a
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-669f-7a61-aa58-0f41fcee9e43,019edc4e-32ba-76f1-934b-fb37681967da,run_tests,chain,run_tests,4.0,2026-06-18T19:56:26.144020Z,2026-06-18T19:56:26.198368Z,0.054348,success,,0,0,0,0.0,,,,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195626144020Z019edc4e-669f-7a61-aa58-0f41fcee9e43
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-66d7-7f61-b623-533d72cb39b1,019edc4e-32ba-76f1-934b-fb37681967da,review_solution,chain,review_solution,5.0,2026-06-18T19:56:26.199062Z,2026-06-18T19:56:28.604659Z,2.405597,success,,593,85,678,0.005515,,,,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195626199062Z019edc4e-66d7-7f61-b623-533d72cb39b1
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-66d7-7f61-b623-534180378e6c,019edc4e-66d7-7f61-b623-533d72cb39b1,ChatOpenAI,llm,review_solution,5.0,2026-06-18T19:56:26.199685Z,2026-06-18T19:56:28.602198Z,2.402513,success,,593,85,678,0.005515,gpt-5.5,openai,chat,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195626199062Z019edc4e-66d7-7f61-b623-533d72cb39b1.20260618T195626199685Z019edc4e-66d7-7f61-b623-534180378e6c
v2.1-gpt5.5-20260618T195612857401Z-Mbpp-2-r0,019edc4e-32ba-76f1-934b-fb37681967da,019edc4e-703b-7511-a95c-da1be2962c95,019edc4e-66d7-7f61-b623-533d72cb39b1,decide_after_review,chain,review_solution,5.0,2026-06-18T19:56:28.603721Z,2026-06-18T19:56:28.604369Z,0.000648,success,,0,0,0,0.0,,,,20260618T195612858846Z019edc4e-32ba-76f1-934b-fb37681967da.20260618T195626199062Z019edc4e-66d7-7f61-b623-533d72cb39b1.20260618T195628603721Z019edc4e-703b-7511-a95c-da1be2962c95
v2.1-gpt5.5-20260618T195631787721Z-Mbpp-3-r0,019edc4e-7cab-7003-9c8f-efc5ea4a265d,019edc4e-7cab-7003-9c8f-efc5ea4a265d,,LangGraph,chain,,,2026-06-18T19:56:31.787995Z,2026-06-18T19:56:47.240850Z,15.452855,success,,1626,778,2404,0.03147,,,,20260618T195631787995Z019edc4e-7cab-7003-9c8f-efc5ea4a265d
v2.1-gpt5.5-20260618T195631787721Z-Mbpp-3-r0,019edc4e-7cab-7003-9c8f-efc5ea4a265d,019edc4e-7cac-79f1-a16a-5a4fb9016a41,019edc4e-7cab-7003-9c8f-efc5ea4a265d,understand_and_plan,chain,understand_and_plan,1.0,2026-06-18T19:56:31.788922Z,2026-06-18T19:56:38.534952Z,6.74603,success,,94,399,493,0.01244,,,,20260618T195631787995Z019edc4e-7cab-7003-9c8f-efc5ea4a265d.20260618T195631788922Z019edc4e-7cac-79f1-a16a-5a4fb9016a41
v2.1-gpt5.5-20260618T195631787721Z-Mbpp-3-r0,019edc4e-7cab-7003-9c8f-efc5ea4a265d,019edc4e-7cad-7a80-b362-7be3f44e5dce,019edc4e-7cac-79f1-a16a-5a4fb9016a41,ChatOpenAI,llm,understand_and_plan,1.0,2026-06-18T19:56:31.789164Z,2026-06-18T19:56:38.534050Z,6.744886,success,,94,399,493,0.01244,gpt-5.5,openai,chat,20260618T195631787995Z019edc4e-7cab-7003-9c8f-efc5ea4a265d.20260618T195631788922Z019edc4e-7cac-79f1-a16a-5a4fb9016a41.20260618T195631789164Z019edc4e-7cad-7a80-b362-7be3f44e5dce
