run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-bb2f-7183-9c2c-a76ee637283c,,LangGraph,chain,,,2026-05-06T13:26:15.599068Z,2026-05-06T13:26:25.916654Z,10.317586,success,,5491,102,5593,0.0004492,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-bb3d-7491-84db-8b3bdc7575cd,019dfd77-bb2f-7183-9c2c-a76ee637283c,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T13:26:15.613146Z,2026-05-06T13:26:18.687167Z,3.074021,success,,335,57,392,0.0,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132615613146Z019dfd77-bb3d-7491-84db-8b3bdc7575cd
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-bb3f-7091-a233-750b5cc34302,019dfd77-bb3d-7491-84db-8b3bdc7575cd,ChatOllama,llm,generate_query_or_respond,1.0,2026-05-06T13:26:15.615178Z,2026-05-06T13:26:18.685228Z,3.07005,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132615613146Z019dfd77-bb3d-7491-84db-8b3bdc7575cd.20260506T132615615178Z019dfd77-bb3f-7091-a233-750b5cc34302
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-c73e-7a41-a7b9-13cabf83e5ac,019dfd77-bb3d-7491-84db-8b3bdc7575cd,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T13:26:18.686424Z,2026-05-06T13:26:18.686963Z,0.000539,success,,0,0,0,0.0,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132615613146Z019dfd77-bb3d-7491-84db-8b3bdc7575cd.20260506T132618686424Z019dfd77-c73e-7a41-a7b9-13cabf83e5ac
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-c73f-7a72-b429-45c861ae5d90,019dfd77-bb2f-7183-9c2c-a76ee637283c,retrieve,chain,retrieve,2.0,2026-05-06T13:26:18.687943Z,2026-05-06T13:26:20.024468Z,1.336525,success,,878,8,886,0.0,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132618687943Z019dfd77-c73f-7a72-b429-45c861ae5d90
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-c741-74d2-bf6f-24888df1a493,019dfd77-c73f-7a72-b429-45c861ae5d90,retrieve_documents,tool,retrieve,2.0,2026-05-06T13:26:18.689371Z,2026-05-06T13:26:19.007945Z,0.318574,success,,0,0,0,0.0,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132618687943Z019dfd77-c73f-7a72-b429-45c861ae5d90.20260506T132618689371Z019dfd77-c741-74d2-bf6f-24888df1a493
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-c742-7ae3-8be0-a445692d46c1,019dfd77-c741-74d2-bf6f-24888df1a493,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T13:26:18.690160Z,2026-05-06T13:26:19.007733Z,0.317573,success,,0,0,0,0.0,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132618687943Z019dfd77-c73f-7a72-b429-45c861ae5d90.20260506T132618689371Z019dfd77-c741-74d2-bf6f-24888df1a493.20260506T132618690160Z019dfd77-c742-7ae3-8be0-a445692d46c1
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-c743-71b1-bbdc-ecb68c6c5545,019dfd77-c73f-7a72-b429-45c861ae5d90,retrieve_documents,tool,retrieve,2.0,2026-05-06T13:26:18.691637Z,2026-05-06T13:26:19.008564Z,0.316927,success,,0,0,0,0.0,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132618687943Z019dfd77-c73f-7a72-b429-45c861ae5d90.20260506T132618691637Z019dfd77-c743-71b1-bbdc-ecb68c6c5545
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-c744-78c3-a45d-458db50ff797,019dfd77-c743-71b1-bbdc-ecb68c6c5545,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T13:26:18.692129Z,2026-05-06T13:26:19.008475Z,0.316346,success,,0,0,0,0.0,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132618687943Z019dfd77-c73f-7a72-b429-45c861ae5d90.20260506T132618691637Z019dfd77-c743-71b1-bbdc-ecb68c6c5545.20260506T132618692129Z019dfd77-c744-78c3-a45d-458db50ff797
v3-qwen3.5-2b-gpt-4.1-mini-20260506T132615597496Z-5a8b57f25542995d1e6f1371-r0,019dfd77-bb2f-7183-9c2c-a76ee637283c,019dfd77-c880-7a92-8293-7c61e86ecc24,019dfd77-c73f-7a72-b429-45c861ae5d90,decide_after_retrieval,chain,retrieve,2.0,2026-05-06T13:26:19.008880Z,2026-05-06T13:26:20.024296Z,1.015416,success,,878,8,886,0.0,,,,20260506T132615599068Z019dfd77-bb2f-7183-9c2c-a76ee637283c.20260506T132618687943Z019dfd77-c73f-7a72-b429-45c861ae5d90.20260506T132619008880Z019dfd77-c880-7a92-8293-7c61e86ecc24
