run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-27be-7061-9b2d-a78f26d49720,,LangGraph,chain,,,2026-05-06T15:39:58.782404Z,2026-05-06T15:40:02.728210Z,3.945806,success,,1762,55,1817,0.0007928,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-27cd-7fa3-9cf3-227adc063951,019dfdf2-27be-7061-9b2d-a78f26d49720,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T15:39:58.797356Z,2026-05-06T15:40:00.305452Z,1.508096,success,,109,49,158,0.000122,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T153958797356Z019dfdf2-27cd-7fa3-9cf3-227adc063951
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-2804-7362-85dc-530cb8e82847,019dfdf2-27cd-7fa3-9cf3-227adc063951,ChatOpenAI,llm,generate_query_or_respond,1.0,2026-05-06T15:39:58.852298Z,2026-05-06T15:40:00.304260Z,1.451962,success,,109,49,158,0.000122,gpt-4.1-mini,openai,chat,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T153958797356Z019dfdf2-27cd-7fa3-9cf3-227adc063951.20260506T153958852298Z019dfdf2-2804-7362-85dc-530cb8e82847
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-2db1-7981-94d9-c536e014b7a4,019dfdf2-27cd-7fa3-9cf3-227adc063951,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T15:40:00.305028Z,2026-05-06T15:40:00.305314Z,0.000286,success,,0,0,0,0.0,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T153958797356Z019dfdf2-27cd-7fa3-9cf3-227adc063951.20260506T154000305028Z019dfdf2-2db1-7981-94d9-c536e014b7a4
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-2db1-7981-94d9-c54d81667733,019dfdf2-27be-7061-9b2d-a78f26d49720,retrieve,chain,retrieve,2.0,2026-05-06T15:40:00.305854Z,2026-05-06T15:40:01.985202Z,1.679348,success,,883,5,888,0.0003612,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T154000305854Z019dfdf2-2db1-7981-94d9-c54d81667733
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-2db2-76b1-9726-48c8eedd5ac2,019dfdf2-2db1-7981-94d9-c54d81667733,retrieve_documents,tool,retrieve,2.0,2026-05-06T15:40:00.306674Z,2026-05-06T15:40:00.571575Z,0.264901,success,,0,0,0,0.0,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T154000305854Z019dfdf2-2db1-7981-94d9-c54d81667733.20260506T154000306674Z019dfdf2-2db2-76b1-9726-48c8eedd5ac2
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-2db4-7223-b342-38f2bbe0e507,019dfdf2-2db2-76b1-9726-48c8eedd5ac2,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T15:40:00.308783Z,2026-05-06T15:40:00.571422Z,0.262639,success,,0,0,0,0.0,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T154000305854Z019dfdf2-2db1-7981-94d9-c54d81667733.20260506T154000306674Z019dfdf2-2db2-76b1-9726-48c8eedd5ac2.20260506T154000308783Z019dfdf2-2db4-7223-b342-38f2bbe0e507
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-2db3-7053-b816-6de68c6067f0,019dfdf2-2db1-7981-94d9-c54d81667733,retrieve_documents,tool,retrieve,2.0,2026-05-06T15:40:00.307459Z,2026-05-06T15:40:00.922941Z,0.615482,success,,0,0,0,0.0,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T154000305854Z019dfdf2-2db1-7981-94d9-c54d81667733.20260506T154000307459Z019dfdf2-2db3-7053-b816-6de68c6067f0
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-2db4-7223-b342-38ec6d2222e6,019dfdf2-2db3-7053-b816-6de68c6067f0,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T15:40:00.308171Z,2026-05-06T15:40:00.922792Z,0.614621,success,,0,0,0,0.0,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T154000305854Z019dfdf2-2db1-7981-94d9-c54d81667733.20260506T154000307459Z019dfdf2-2db3-7053-b816-6de68c6067f0.20260506T154000308171Z019dfdf2-2db4-7223-b342-38ec6d2222e6
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-301b-7891-91bb-e4d0bcc1056d,019dfdf2-2db1-7981-94d9-c54d81667733,decide_after_retrieval,chain,retrieve,2.0,2026-05-06T15:40:00.923290Z,2026-05-06T15:40:01.985079Z,1.061789,success,,883,5,888,0.0003612,,,,20260506T153958782404Z019dfdf2-27be-7061-9b2d-a78f26d49720.20260506T154000305854Z019dfdf2-2db1-7981-94d9-c54d81667733.20260506T154000923290Z019dfdf2-301b-7891-91bb-e4d0bcc1056d
