run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-5a52-70c2-94ca-b37e62b3f78a,,LangGraph,chain,,,2026-05-06T15:23:48.690259Z,2026-05-06T15:23:55.004897Z,6.314638,success,,1185,73,1258,0.008115,,,,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-5a62-7b00-91e8-d2c9d46b6f40,019dfde3-5a52-70c2-94ca-b37e62b3f78a,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T15:23:48.706640Z,2026-05-06T15:23:51.928493Z,3.221853,success,,193,56,249,0.002645,,,,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152348706640Z019dfde3-5a62-7b00-91e8-d2c9d46b6f40
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-5a9a-7252-a564-2aec8de00b87,019dfde3-5a62-7b00-91e8-d2c9d46b6f40,ChatOpenAI,llm,generate_query_or_respond,1.0,2026-05-06T15:23:48.762531Z,2026-05-06T15:23:51.925657Z,3.163126,success,,193,56,249,0.002645,gpt-5.5,openai,chat,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152348706640Z019dfde3-5a62-7b00-91e8-d2c9d46b6f40.20260506T152348762531Z019dfde3-5a9a-7252-a564-2aec8de00b87
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-66f8-7553-b365-e44cda6de6a6,019dfde3-5a62-7b00-91e8-d2c9d46b6f40,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T15:23:51.928073Z,2026-05-06T15:23:51.928364Z,0.000291,success,,0,0,0,0.0,,,,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152348706640Z019dfde3-5a62-7b00-91e8-d2c9d46b6f40.20260506T152351928073Z019dfde3-66f8-7553-b365-e44cda6de6a6
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-66f8-7553-b365-e4539410e7e5,019dfde3-5a52-70c2-94ca-b37e62b3f78a,retrieve,chain,retrieve,2.0,2026-05-06T15:23:51.928859Z,2026-05-06T15:23:53.871424Z,1.942565,success,,550,13,563,0.00314,,,,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152351928859Z019dfde3-66f8-7553-b365-e4539410e7e5
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-66f9-7053-8f9e-d7ba74b13c0c,019dfde3-66f8-7553-b365-e4539410e7e5,retrieve_documents,tool,retrieve,2.0,2026-05-06T15:23:51.929468Z,2026-05-06T15:23:52.350550Z,0.421082,success,,0,0,0,0.0,,,,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152351928859Z019dfde3-66f8-7553-b365-e4539410e7e5.20260506T152351929468Z019dfde3-66f9-7053-8f9e-d7ba74b13c0c
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-66f9-7053-8f9e-d7cae7c93f27,019dfde3-66f9-7053-8f9e-d7ba74b13c0c,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T15:23:51.929918Z,2026-05-06T15:23:52.350401Z,0.420483,success,,0,0,0,0.0,,,,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152351928859Z019dfde3-66f8-7553-b365-e4539410e7e5.20260506T152351929468Z019dfde3-66f9-7053-8f9e-d7ba74b13c0c.20260506T152351929918Z019dfde3-66f9-7053-8f9e-d7cae7c93f27
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-689e-70c2-8745-ffab68771ac7,019dfde3-66f8-7553-b365-e4539410e7e5,decide_after_retrieval,chain,retrieve,2.0,2026-05-06T15:23:52.350864Z,2026-05-06T15:23:53.871235Z,1.520371,success,,550,13,563,0.00314,,,,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152351928859Z019dfde3-66f8-7553-b365-e4539410e7e5.20260506T152352350864Z019dfde3-689e-70c2-8745-ffab68771ac7
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-689f-7f90-b859-456b531bbd55,019dfde3-689e-70c2-8745-ffab68771ac7,RunnableSequence,chain,retrieve,2.0,2026-05-06T15:23:52.351297Z,2026-05-06T15:23:53.871119Z,1.519822,success,,550,13,563,0.00314,,,,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152351928859Z019dfde3-66f8-7553-b365-e4539410e7e5.20260506T152352350864Z019dfde3-689e-70c2-8745-ffab68771ac7.20260506T152352351297Z019dfde3-689f-7f90-b859-456b531bbd55
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-689f-7f90-b859-457f23301e4d,019dfde3-689f-7f90-b859-456b531bbd55,ChatOpenAI,llm,retrieve,2.0,2026-05-06T15:23:52.351791Z,2026-05-06T15:23:53.869175Z,1.517384,success,,550,13,563,0.00314,gpt-5.5,openai,chat,20260506T152348690259Z019dfde3-5a52-70c2-94ca-b37e62b3f78a.20260506T152351928859Z019dfde3-66f8-7553-b365-e4539410e7e5.20260506T152352350864Z019dfde3-689e-70c2-8745-ffab68771ac7.20260506T152352351297Z019dfde3-689f-7f90-b859-456b531bbd55.20260506T152352351791Z019dfde3-689f-7f90-b859-457f23301e4d
