run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-7fe0-7f83-afcf-4adc947b944e,,LangGraph,chain,,,2026-06-08T15:59:04.672444Z,2026-06-08T15:59:11.460797Z,6.788353,success,,1839,133,1972,0.013185,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-7fe1-7280-96c9-c066ae86f4da,019ea7f5-7fe0-7f83-afcf-4adc947b944e,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T15:59:04.673054Z,2026-06-08T15:59:07.387887Z,2.714833,success,,193,85,278,0.003515,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155904673054Z019ea7f5-7fe1-7280-96c9-c066ae86f4da
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-7fe2-7db1-8401-3d12d264deb1,019ea7f5-7fe1-7280-96c9-c066ae86f4da,ChatOpenAI,llm,generate_query_or_respond,1.0,2026-06-08T15:59:04.674066Z,2026-06-08T15:59:07.387399Z,2.713333,success,,193,85,278,0.003515,gpt-5.5,openai,chat,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155904673054Z019ea7f5-7fe1-7280-96c9-c066ae86f4da.20260608T155904674066Z019ea7f5-7fe2-7db1-8401-3d12d264deb1
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8a7b-7421-a8d0-e2abfd303c0e,019ea7f5-7fe1-7280-96c9-c066ae86f4da,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T15:59:07.387650Z,2026-06-08T15:59:07.387813Z,0.000163,success,,0,0,0,0.0,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155904673054Z019ea7f5-7fe1-7280-96c9-c066ae86f4da.20260608T155907387650Z019ea7f5-8a7b-7421-a8d0-e2abfd303c0e
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8a7c-7333-80df-42e8ff637850,019ea7f5-7fe0-7f83-afcf-4adc947b944e,retrieve,chain,retrieve,2.0,2026-06-08T15:59:07.388171Z,2026-06-08T15:59:09.774389Z,2.386218,success,,877,13,890,0.004775,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8a7c-7333-80df-42f50e892e51,019ea7f5-8a7c-7333-80df-42e8ff637850,retrieve_documents,tool,retrieve,2.0,2026-06-08T15:59:07.388522Z,2026-06-08T15:59:08.012050Z,0.623528,success,,0,0,0,0.0,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850.20260608T155907388522Z019ea7f5-8a7c-7333-80df-42f50e892e51
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8a7c-7333-80df-430a2be6c39c,019ea7f5-8a7c-7333-80df-42f50e892e51,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T15:59:07.388818Z,2026-06-08T15:59:08.011816Z,0.622998,success,,0,0,0,0.0,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850.20260608T155907388522Z019ea7f5-8a7c-7333-80df-42f50e892e51.20260608T155907388818Z019ea7f5-8a7c-7333-80df-430a2be6c39c
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8a7d-7043-b546-2d3b09b676b8,019ea7f5-8a7c-7333-80df-42e8ff637850,retrieve_documents,tool,retrieve,2.0,2026-06-08T15:59:07.389277Z,2026-06-08T15:59:08.120282Z,0.731005,success,,0,0,0,0.0,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850.20260608T155907389277Z019ea7f5-8a7d-7043-b546-2d3b09b676b8
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8a7d-7043-b546-2d405cf0f951,019ea7f5-8a7d-7043-b546-2d3b09b676b8,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T15:59:07.389480Z,2026-06-08T15:59:08.120146Z,0.730666,success,,0,0,0,0.0,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850.20260608T155907389277Z019ea7f5-8a7d-7043-b546-2d3b09b676b8.20260608T155907389480Z019ea7f5-8a7d-7043-b546-2d405cf0f951
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8d58-76d1-b5e7-f6832c5afb3c,019ea7f5-8a7c-7333-80df-42e8ff637850,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T15:59:08.120589Z,2026-06-08T15:59:09.774322Z,1.653733,success,,877,13,890,0.004775,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850.20260608T155908120589Z019ea7f5-8d58-76d1-b5e7-f6832c5afb3c
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8d58-76d1-b5e7-f69ff3d1d7c0,019ea7f5-8d58-76d1-b5e7-f6832c5afb3c,RunnableSequence,chain,retrieve,2.0,2026-06-08T15:59:08.120987Z,2026-06-08T15:59:09.774279Z,1.653292,success,,877,13,890,0.004775,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850.20260608T155908120589Z019ea7f5-8d58-76d1-b5e7-f6832c5afb3c.20260608T155908120987Z019ea7f5-8d58-76d1-b5e7-f69ff3d1d7c0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-8d59-7de0-b504-42d497e38db7,019ea7f5-8d58-76d1-b5e7-f69ff3d1d7c0,ChatOpenAI,llm,retrieve,2.0,2026-06-08T15:59:08.121228Z,2026-06-08T15:59:09.773673Z,1.652445,success,,877,13,890,0.004775,gpt-5.5,openai,chat,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850.20260608T155908120589Z019ea7f5-8d58-76d1-b5e7-f6832c5afb3c.20260608T155908120987Z019ea7f5-8d58-76d1-b5e7-f69ff3d1d7c0.20260608T155908121228Z019ea7f5-8d59-7de0-b504-42d497e38db7
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-93cd-7492-afdd-7f22df28652a,019ea7f5-8d58-76d1-b5e7-f69ff3d1d7c0,RunnableLambda,chain,retrieve,2.0,2026-06-08T15:59:09.773997Z,2026-06-08T15:59:09.774225Z,0.000228,success,,0,0,0,0.0,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155907388171Z019ea7f5-8a7c-7333-80df-42e8ff637850.20260608T155908120589Z019ea7f5-8d58-76d1-b5e7-f6832c5afb3c.20260608T155908120987Z019ea7f5-8d58-76d1-b5e7-f69ff3d1d7c0.20260608T155909773997Z019ea7f5-93cd-7492-afdd-7f22df28652a
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-93ce-7b61-9c85-8fd00361df76,019ea7f5-7fe0-7f83-afcf-4adc947b944e,generate_answer,chain,generate_answer,3.0,2026-06-08T15:59:09.774609Z,2026-06-08T15:59:11.460382Z,1.685773,success,,769,35,804,0.004895,,,,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155909774609Z019ea7f5-93ce-7b61-9c85-8fd00361df76
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-93ce-7b61-9c85-8fe5bba3c671,019ea7f5-93ce-7b61-9c85-8fd00361df76,ChatOpenAI,llm,generate_answer,3.0,2026-06-08T15:59:09.774854Z,2026-06-08T15:59:11.459887Z,1.685033,success,,769,35,804,0.004895,gpt-5.5,openai,chat,20260608T155904672444Z019ea7f5-7fe0-7f83-afcf-4adc947b944e.20260608T155909774609Z019ea7f5-93ce-7b61-9c85-8fd00361df76.20260608T155909774854Z019ea7f5-93ce-7b61-9c85-8fe5bba3c671
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-9a66-7502-8afb-ffafab9f5f52,,LangGraph,chain,,,2026-06-08T15:59:11.462187Z,2026-06-08T15:59:20.399551Z,8.937364,success,,1804,198,2002,0.01496,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-9a66-7502-8afb-ffb97a5b91ba,019ea7f5-9a66-7502-8afb-ffafab9f5f52,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T15:59:11.462860Z,2026-06-08T15:59:14.083780Z,2.62092,success,,202,70,272,0.00311,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155911462860Z019ea7f5-9a66-7502-8afb-ffb97a5b91ba
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-9a68-77f3-9fdb-f4d7ba215758,019ea7f5-9a66-7502-8afb-ffb97a5b91ba,ChatOpenAI,llm,generate_query_or_respond,1.0,2026-06-08T15:59:11.464794Z,2026-06-08T15:59:14.083319Z,2.618525,success,,202,70,272,0.00311,gpt-5.5,openai,chat,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155911462860Z019ea7f5-9a66-7502-8afb-ffb97a5b91ba.20260608T155911464794Z019ea7f5-9a68-77f3-9fdb-f4d7ba215758
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-a4a3-78e2-9e59-4f03f9075474,019ea7f5-9a66-7502-8afb-ffb97a5b91ba,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T15:59:14.083591Z,2026-06-08T15:59:14.083724Z,0.000133,success,,0,0,0,0.0,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155911462860Z019ea7f5-9a66-7502-8afb-ffb97a5b91ba.20260608T155914083591Z019ea7f5-a4a3-78e2-9e59-4f03f9075474
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4,019ea7f5-9a66-7502-8afb-ffafab9f5f52,retrieve,chain,retrieve,2.0,2026-06-08T15:59:14.083990Z,2026-06-08T15:59:18.872054Z,4.788064,success,,579,113,692,0.006285,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155914083990Z019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-a4a4-7853-b877-0b590e01b5d2,019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4,retrieve_documents,tool,retrieve,2.0,2026-06-08T15:59:14.084371Z,2026-06-08T15:59:14.558127Z,0.473756,success,,0,0,0,0.0,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155914083990Z019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4.20260608T155914084371Z019ea7f5-a4a4-7853-b877-0b590e01b5d2
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-a4a4-7853-b877-0b626caa81ff,019ea7f5-a4a4-7853-b877-0b590e01b5d2,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T15:59:14.084703Z,2026-06-08T15:59:14.557981Z,0.473278,success,,0,0,0,0.0,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155914083990Z019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4.20260608T155914084371Z019ea7f5-a4a4-7853-b877-0b590e01b5d2.20260608T155914084703Z019ea7f5-a4a4-7853-b877-0b626caa81ff
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-a67e-7ab2-a509-63f8e6f5f2f1,019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T15:59:14.558373Z,2026-06-08T15:59:18.871875Z,4.313502,success,,579,113,692,0.006285,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155914083990Z019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4.20260608T155914558373Z019ea7f5-a67e-7ab2-a509-63f8e6f5f2f1
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-a67e-7ab2-a509-6407fdea6ce1,019ea7f5-a67e-7ab2-a509-63f8e6f5f2f1,RunnableSequence,chain,retrieve,2.0,2026-06-08T15:59:14.558768Z,2026-06-08T15:59:18.871740Z,4.312972,success,,579,113,692,0.006285,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155914083990Z019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4.20260608T155914558373Z019ea7f5-a67e-7ab2-a509-63f8e6f5f2f1.20260608T155914558768Z019ea7f5-a67e-7ab2-a509-6407fdea6ce1
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-a67e-7ab2-a509-64114ce9f9ee,019ea7f5-a67e-7ab2-a509-6407fdea6ce1,ChatOpenAI,llm,retrieve,2.0,2026-06-08T15:59:14.558958Z,2026-06-08T15:59:18.870347Z,4.311389,success,,579,113,692,0.006285,gpt-5.5,openai,chat,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155914083990Z019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4.20260608T155914558373Z019ea7f5-a67e-7ab2-a509-63f8e6f5f2f1.20260608T155914558768Z019ea7f5-a67e-7ab2-a509-6407fdea6ce1.20260608T155914558958Z019ea7f5-a67e-7ab2-a509-64114ce9f9ee
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-b757-7640-8224-7c12b3e04c14,019ea7f5-a67e-7ab2-a509-6407fdea6ce1,RunnableLambda,chain,retrieve,2.0,2026-06-08T15:59:18.871072Z,2026-06-08T15:59:18.871614Z,0.000542,success,,0,0,0,0.0,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155914083990Z019ea7f5-a4a3-78e2-9e59-4f11aa07cbf4.20260608T155914558373Z019ea7f5-a67e-7ab2-a509-63f8e6f5f2f1.20260608T155914558768Z019ea7f5-a67e-7ab2-a509-6407fdea6ce1.20260608T155918871072Z019ea7f5-b757-7640-8224-7c12b3e04c14
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-b758-75a1-a39d-329d863c4652,019ea7f5-9a66-7502-8afb-ffafab9f5f52,generate_followup_query,chain,generate_followup_query,3.0,2026-06-08T15:59:18.872592Z,2026-06-08T15:59:18.872889Z,0.000297,success,,0,0,0,0.0,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155918872592Z019ea7f5-b758-75a1-a39d-329d863c4652
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-b759-7791-afde-3cf227b21d2d,019ea7f5-9a66-7502-8afb-ffafab9f5f52,generate_query_or_respond,chain,generate_query_or_respond,4.0,2026-06-08T15:59:18.873217Z,2026-06-08T15:59:20.399095Z,1.525878,success,,1023,15,1038,0.005565,,,,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155918873217Z019ea7f5-b759-7791-afde-3cf227b21d2d
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-b75b-7422-9cfc-da06c8e17054,019ea7f5-b759-7791-afde-3cf227b21d2d,ChatOpenAI,llm,generate_query_or_respond,4.0,2026-06-08T15:59:18.875116Z,2026-06-08T15:59:20.397952Z,1.522836,success,,1023,15,1038,0.005565,gpt-5.5,openai,chat,20260608T155911462187Z019ea7f5-9a66-7502-8afb-ffafab9f5f52.20260608T155918873217Z019ea7f5-b759-7791-afde-3cf227b21d2d.20260608T155918875116Z019ea7f5-b75b-7422-9cfc-da06c8e17054
