run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-0cc9-71e1-9d60-11e617b78663,,LangGraph,chain,,,2026-06-08T15:42:12.169052Z,2026-06-08T15:42:18.687199Z,6.518147,success,,1981,92,2073,0.00928,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-0cc9-71e1-9d60-11f4e2e8912d,019ea7e6-0cc9-71e1-9d60-11e617b78663,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T15:42:12.169708Z,2026-06-08T15:42:14.159916Z,1.990208,success,,335,57,392,0.0,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154212169708Z019ea7e6-0cc9-71e1-9d60-11f4e2e8912d
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-0cca-7140-abdc-4994c10b3c32,019ea7e6-0cc9-71e1-9d60-11f4e2e8912d,ChatOllama,llm,generate_query_or_respond,1.0,2026-06-08T15:42:12.170619Z,2026-06-08T15:42:14.158840Z,1.988221,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154212169708Z019ea7e6-0cc9-71e1-9d60-11f4e2e8912d.20260608T154212170619Z019ea7e6-0cca-7140-abdc-4994c10b3c32
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-148f-7dc2-a434-08b160eca3ae,019ea7e6-0cc9-71e1-9d60-11f4e2e8912d,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T15:42:14.159523Z,2026-06-08T15:42:14.159842Z,0.000319,success,,0,0,0,0.0,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154212169708Z019ea7e6-0cc9-71e1-9d60-11f4e2e8912d.20260608T154214159523Z019ea7e6-148f-7dc2-a434-08b160eca3ae
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-1490-7ff0-bded-191bea056431,019ea7e6-0cc9-71e1-9d60-11e617b78663,retrieve,chain,retrieve,2.0,2026-06-08T15:42:14.160155Z,2026-06-08T15:42:16.359180Z,2.199025,success,,877,13,890,0.004775,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154214160155Z019ea7e6-1490-7ff0-bded-191bea056431
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-1490-7ff0-bded-19248b1d6f94,019ea7e6-1490-7ff0-bded-191bea056431,retrieve_documents,tool,retrieve,2.0,2026-06-08T15:42:14.160540Z,2026-06-08T15:42:14.853391Z,0.692851,success,,0,0,0,0.0,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154214160155Z019ea7e6-1490-7ff0-bded-191bea056431.20260608T154214160540Z019ea7e6-1490-7ff0-bded-19248b1d6f94
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-1490-7ff0-bded-193652a920f0,019ea7e6-1490-7ff0-bded-19248b1d6f94,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T15:42:14.160861Z,2026-06-08T15:42:14.853258Z,0.692397,success,,0,0,0,0.0,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154214160155Z019ea7e6-1490-7ff0-bded-191bea056431.20260608T154214160540Z019ea7e6-1490-7ff0-bded-19248b1d6f94.20260608T154214160861Z019ea7e6-1490-7ff0-bded-193652a920f0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-1491-7712-95f7-6bdd4360a2d1,019ea7e6-1490-7ff0-bded-191bea056431,retrieve_documents,tool,retrieve,2.0,2026-06-08T15:42:14.161110Z,2026-06-08T15:42:14.851346Z,0.690236,success,,0,0,0,0.0,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154214160155Z019ea7e6-1490-7ff0-bded-191bea056431.20260608T154214161110Z019ea7e6-1491-7712-95f7-6bdd4360a2d1
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-1491-7712-95f7-6bee12027f6c,019ea7e6-1491-7712-95f7-6bdd4360a2d1,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T15:42:14.161329Z,2026-06-08T15:42:14.851090Z,0.689761,success,,0,0,0,0.0,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154214160155Z019ea7e6-1490-7ff0-bded-191bea056431.20260608T154214161110Z019ea7e6-1491-7712-95f7-6bdd4360a2d1.20260608T154214161329Z019ea7e6-1491-7712-95f7-6bee12027f6c
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-1745-7d21-81e4-aa5dd137aea6,019ea7e6-1490-7ff0-bded-191bea056431,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T15:42:14.853742Z,2026-06-08T15:42:16.359006Z,1.505264,success,,877,13,890,0.004775,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154214160155Z019ea7e6-1490-7ff0-bded-191bea056431.20260608T154214853742Z019ea7e6-1745-7d21-81e4-aa5dd137aea6
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-1746-7912-b9ec-a3e8785d1f99,019ea7e6-1745-7d21-81e4-aa5dd137aea6,RunnableSequence,chain,retrieve,2.0,2026-06-08T15:42:14.854194Z,2026-06-08T15:42:16.358863Z,1.504669,success,,877,13,890,0.004775,,,,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154214160155Z019ea7e6-1490-7ff0-bded-191bea056431.20260608T154214853742Z019ea7e6-1745-7d21-81e4-aa5dd137aea6.20260608T154214854194Z019ea7e6-1746-7912-b9ec-a3e8785d1f99
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-1746-7912-b9ec-a3f9b0c569b8,019ea7e6-1746-7912-b9ec-a3e8785d1f99,ChatOpenAI,llm,retrieve,2.0,2026-06-08T15:42:14.854475Z,2026-06-08T15:42:16.357628Z,1.503153,success,,877,13,890,0.004775,gpt-5.5,openai,chat,20260608T154212169052Z019ea7e6-0cc9-71e1-9d60-11e617b78663.20260608T154214160155Z019ea7e6-1490-7ff0-bded-191bea056431.20260608T154214853742Z019ea7e6-1745-7d21-81e4-aa5dd137aea6.20260608T154214854194Z019ea7e6-1746-7912-b9ec-a3e8785d1f99.20260608T154214854475Z019ea7e6-1746-7912-b9ec-a3f9b0c569b8
