run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-30c2-7860-bacd-c7bc1bcc492b,,LangGraph,chain,,,2026-06-08T18:20:44.098600Z,2026-06-08T18:20:49.871434Z,5.772834,success,,4939,89,5028,0.0064658,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-30c3-7383-b706-960e32e51964,019ea877-30c2-7860-bacd-c7bc1bcc492b,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T18:20:44.099207Z,2026-06-08T18:20:45.181613Z,1.082406,success,,109,49,158,0.000122,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182044099207Z019ea877-30c3-7383-b706-960e32e51964
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-30c4-7711-b842-4914aa5b7be3,019ea877-30c3-7383-b706-960e32e51964,ChatOpenAI,llm,generate_query_or_respond,1.0,2026-06-08T18:20:44.100152Z,2026-06-08T18:20:45.180650Z,1.080498,success,,109,49,158,0.000122,gpt-4.1-mini,openai,chat,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182044099207Z019ea877-30c3-7383-b706-960e32e51964.20260608T182044100152Z019ea877-30c4-7711-b842-4914aa5b7be3
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-34fd-7a60-88e1-96113b4ba69d,019ea877-30c3-7383-b706-960e32e51964,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T18:20:45.181217Z,2026-06-08T18:20:45.181497Z,0.00028,success,,0,0,0,0.0,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182044099207Z019ea877-30c3-7383-b706-960e32e51964.20260608T182045181217Z019ea877-34fd-7a60-88e1-96113b4ba69d
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-34fe-7112-bba6-3a57531ed35a,019ea877-30c2-7860-bacd-c7bc1bcc492b,retrieve,chain,retrieve,2.0,2026-06-08T18:20:45.182134Z,2026-06-08T18:20:46.729836Z,1.547702,success,,878,8,886,0.0,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182045182134Z019ea877-34fe-7112-bba6-3a57531ed35a
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-34fe-7112-bba6-3a6f4b419330,019ea877-34fe-7112-bba6-3a57531ed35a,retrieve_documents,tool,retrieve,2.0,2026-06-08T18:20:45.182698Z,2026-06-08T18:20:45.523134Z,0.340436,success,,0,0,0,0.0,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182045182134Z019ea877-34fe-7112-bba6-3a57531ed35a.20260608T182045182698Z019ea877-34fe-7112-bba6-3a6f4b419330
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-34ff-7952-87be-a257be3c0f5c,019ea877-34fe-7112-bba6-3a6f4b419330,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T18:20:45.183173Z,2026-06-08T18:20:45.523030Z,0.339857,success,,0,0,0,0.0,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182045182134Z019ea877-34fe-7112-bba6-3a57531ed35a.20260608T182045182698Z019ea877-34fe-7112-bba6-3a6f4b419330.20260608T182045183173Z019ea877-34ff-7952-87be-a257be3c0f5c
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-34ff-7952-87be-a26f24fe3bc3,019ea877-34fe-7112-bba6-3a57531ed35a,retrieve_documents,tool,retrieve,2.0,2026-06-08T18:20:45.183543Z,2026-06-08T18:20:45.522154Z,0.338611,success,,0,0,0,0.0,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182045182134Z019ea877-34fe-7112-bba6-3a57531ed35a.20260608T182045183543Z019ea877-34ff-7952-87be-a26f24fe3bc3
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-34ff-7952-87be-a2735a0f6585,019ea877-34ff-7952-87be-a26f24fe3bc3,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T18:20:45.184037Z,2026-06-08T18:20:45.521992Z,0.337955,success,,0,0,0,0.0,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182045182134Z019ea877-34fe-7112-bba6-3a57531ed35a.20260608T182045183543Z019ea877-34ff-7952-87be-a26f24fe3bc3.20260608T182045184037Z019ea877-34ff-7952-87be-a2735a0f6585
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T182044098504Z-5a8b57f25542995d1e6f1371-r0,019ea877-30c2-7860-bacd-c7bc1bcc492b,019ea877-3653-7b92-9b13-f325d302cfe8,019ea877-34fe-7112-bba6-3a57531ed35a,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T18:20:45.523403Z,2026-06-08T18:20:46.729737Z,1.206334,success,,878,8,886,0.0,,,,20260608T182044098600Z019ea877-30c2-7860-bacd-c7bc1bcc492b.20260608T182045182134Z019ea877-34fe-7112-bba6-3a57531ed35a.20260608T182045523403Z019ea877-3653-7b92-9b13-f325d302cfe8
