run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,,LangGraph,chain,,,2026-06-08T18:08:53.670554Z,2026-06-08T18:09:04.148495Z,10.477941,success,,5491,102,5593,0.0004492,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-59b4-7be0-ad87-2360b7beefbf,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T18:08:53.684533Z,2026-06-08T18:08:57.434521Z,3.749988,success,,335,57,392,0.0,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180853684533Z019ea86c-59b4-7be0-ad87-2360b7beefbf
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-59b6-75b1-a6dc-0c37a9b46e4e,019ea86c-59b4-7be0-ad87-2360b7beefbf,ChatOllama,llm,generate_query_or_respond,1.0,2026-06-08T18:08:53.687002Z,2026-06-08T18:08:57.432189Z,3.745187,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180853684533Z019ea86c-59b4-7be0-ad87-2360b7beefbf.20260608T180853687002Z019ea86c-59b6-75b1-a6dc-0c37a9b46e4e
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-6859-74b0-9232-ef323d71bfd9,019ea86c-59b4-7be0-ad87-2360b7beefbf,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T18:08:57.433975Z,2026-06-08T18:08:57.434397Z,0.000422,success,,0,0,0,0.0,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180853684533Z019ea86c-59b4-7be0-ad87-2360b7beefbf.20260608T180857433975Z019ea86c-6859-74b0-9232-ef323d71bfd9
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-685b-77e1-9841-2fa12adc0de6,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,retrieve,chain,retrieve,2.0,2026-06-08T18:08:57.435197Z,2026-06-08T18:08:58.862702Z,1.427505,success,,878,8,886,0.0,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180857435197Z019ea86c-685b-77e1-9841-2fa12adc0de6
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-685b-77e1-9841-2fb771255d27,019ea86c-685b-77e1-9841-2fa12adc0de6,retrieve_documents,tool,retrieve,2.0,2026-06-08T18:08:57.435963Z,2026-06-08T18:08:57.741287Z,0.305324,success,,0,0,0,0.0,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180857435197Z019ea86c-685b-77e1-9841-2fa12adc0de6.20260608T180857435963Z019ea86c-685b-77e1-9841-2fb771255d27
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-685c-7522-8c06-79833376feb6,019ea86c-685b-77e1-9841-2fb771255d27,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T18:08:57.436409Z,2026-06-08T18:08:57.740963Z,0.304554,success,,0,0,0,0.0,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180857435197Z019ea86c-685b-77e1-9841-2fa12adc0de6.20260608T180857435963Z019ea86c-685b-77e1-9841-2fb771255d27.20260608T180857436409Z019ea86c-685c-7522-8c06-79833376feb6
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-685c-7522-8c06-799e0070ceca,019ea86c-685b-77e1-9841-2fa12adc0de6,retrieve_documents,tool,retrieve,2.0,2026-06-08T18:08:57.436787Z,2026-06-08T18:08:57.741516Z,0.304729,success,,0,0,0,0.0,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180857435197Z019ea86c-685b-77e1-9841-2fa12adc0de6.20260608T180857436787Z019ea86c-685c-7522-8c06-799e0070ceca
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-685d-7092-821e-b828f52ba9f9,019ea86c-685c-7522-8c06-799e0070ceca,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T18:08:57.437110Z,2026-06-08T18:08:57.741438Z,0.304328,success,,0,0,0,0.0,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180857435197Z019ea86c-685b-77e1-9841-2fa12adc0de6.20260608T180857436787Z019ea86c-685c-7522-8c06-799e0070ceca.20260608T180857437110Z019ea86c-685d-7092-821e-b828f52ba9f9
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-698d-7a93-a950-e6d4f27d6a56,019ea86c-685b-77e1-9841-2fa12adc0de6,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T18:08:57.741963Z,2026-06-08T18:08:58.862639Z,1.120676,success,,878,8,886,0.0,,,,20260608T180853670554Z019ea86c-59a6-76d2-9e9e-98fb3e9aa232.20260608T180857435197Z019ea86c-685b-77e1-9841-2fa12adc0de6.20260608T180857741963Z019ea86c-698d-7a93-a950-e6d4f27d6a56
