run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-1d4f-7373-b279-44358c961f11,,LangGraph,chain,,,2026-06-08T18:33:45.551199Z,2026-06-08T18:33:50.865363Z,5.314164,success,,1987,89,2076,0.0050162,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-1d4f-7373-b279-44462183cbd5,019ea883-1d4f-7373-b279-44358c961f11,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T18:33:45.551842Z,2026-06-08T18:33:47.355142Z,1.8033,success,,335,57,392,0.0,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183345551842Z019ea883-1d4f-7373-b279-44462183cbd5
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-1d50-7053-b124-a15f310fc23f,019ea883-1d4f-7373-b279-44462183cbd5,ChatOllama,llm,generate_query_or_respond,1.0,2026-06-08T18:33:45.552778Z,2026-06-08T18:33:47.354108Z,1.80133,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183345551842Z019ea883-1d4f-7373-b279-44462183cbd5.20260608T183345552778Z019ea883-1d50-7053-b124-a15f310fc23f
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-245a-7d00-a2be-77d5009fb8b5,019ea883-1d4f-7373-b279-44462183cbd5,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T18:33:47.354701Z,2026-06-08T18:33:47.355028Z,0.000327,success,,0,0,0,0.0,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183345551842Z019ea883-1d4f-7373-b279-44462183cbd5.20260608T183347354701Z019ea883-245a-7d00-a2be-77d5009fb8b5
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-245b-72b2-8f6a-7b18bd51ee10,019ea883-1d4f-7373-b279-44358c961f11,retrieve,chain,retrieve,2.0,2026-06-08T18:33:47.355608Z,2026-06-08T18:33:48.545529Z,1.189921,success,,883,5,888,0.0003612,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-245c-7d23-a521-e462ed8b539d,019ea883-245b-72b2-8f6a-7b18bd51ee10,retrieve_documents,tool,retrieve,2.0,2026-06-08T18:33:47.356878Z,2026-06-08T18:33:47.741876Z,0.384998,success,,0,0,0,0.0,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10.20260608T183347356878Z019ea883-245c-7d23-a521-e462ed8b539d
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-245e-7cd0-8c2b-77ec357652e7,019ea883-245c-7d23-a521-e462ed8b539d,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T18:33:47.358163Z,2026-06-08T18:33:47.741762Z,0.383599,success,,0,0,0,0.0,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10.20260608T183347356878Z019ea883-245c-7d23-a521-e462ed8b539d.20260608T183347358163Z019ea883-245e-7cd0-8c2b-77ec357652e7
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-245d-7ef1-b6ef-82610560a992,019ea883-245b-72b2-8f6a-7b18bd51ee10,retrieve_documents,tool,retrieve,2.0,2026-06-08T18:33:47.357437Z,2026-06-08T18:33:47.739769Z,0.382332,success,,0,0,0,0.0,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10.20260608T183347357437Z019ea883-245d-7ef1-b6ef-82610560a992
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-245f-77b0-916f-706abc8b5102,019ea883-245d-7ef1-b6ef-82610560a992,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T18:33:47.359134Z,2026-06-08T18:33:47.739526Z,0.380392,success,,0,0,0,0.0,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10.20260608T183347357437Z019ea883-245d-7ef1-b6ef-82610560a992.20260608T183347359134Z019ea883-245f-77b0-916f-706abc8b5102
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-25de-7590-a99f-726248a9f824,019ea883-245b-72b2-8f6a-7b18bd51ee10,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T18:33:47.742239Z,2026-06-08T18:33:48.545399Z,0.80316,success,,883,5,888,0.0003612,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10.20260608T183347742239Z019ea883-25de-7590-a99f-726248a9f824
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-25de-7590-a99f-7278985b311b,019ea883-25de-7590-a99f-726248a9f824,RunnableSequence,chain,retrieve,2.0,2026-06-08T18:33:47.742715Z,2026-06-08T18:33:48.545308Z,0.802593,success,,883,5,888,0.0003612,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10.20260608T183347742239Z019ea883-25de-7590-a99f-726248a9f824.20260608T183347742715Z019ea883-25de-7590-a99f-7278985b311b
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-25de-7590-a99f-7285cdc3e539,019ea883-25de-7590-a99f-7278985b311b,ChatOpenAI,llm,retrieve,2.0,2026-06-08T18:33:47.743003Z,2026-06-08T18:33:48.544016Z,0.801013,success,,883,5,888,0.0003612,gpt-4.1-mini,openai,chat,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10.20260608T183347742239Z019ea883-25de-7590-a99f-726248a9f824.20260608T183347742715Z019ea883-25de-7590-a99f-7278985b311b.20260608T183347743003Z019ea883-25de-7590-a99f-7285cdc3e539
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-2900-7d63-94d6-02040ae16b92,019ea883-25de-7590-a99f-7278985b311b,RunnableLambda,chain,retrieve,2.0,2026-06-08T18:33:48.544643Z,2026-06-08T18:33:48.545188Z,0.000545,success,,0,0,0,0.0,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183347355608Z019ea883-245b-72b2-8f6a-7b18bd51ee10.20260608T183347742239Z019ea883-25de-7590-a99f-726248a9f824.20260608T183347742715Z019ea883-25de-7590-a99f-7278985b311b.20260608T183348544643Z019ea883-2900-7d63-94d6-02040ae16b92
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-2901-71c1-99a7-6f7920418483,019ea883-1d4f-7373-b279-44358c961f11,generate_answer,chain,generate_answer,3.0,2026-06-08T18:33:48.545949Z,2026-06-08T18:33:50.864799Z,2.31885,success,,769,27,796,0.004655,,,,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183348545949Z019ea883-2901-71c1-99a7-6f7920418483
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-2902-7b33-bcc3-0ec1c678639e,019ea883-2901-71c1-99a7-6f7920418483,ChatOpenAI,llm,generate_answer,3.0,2026-06-08T18:33:48.546574Z,2026-06-08T18:33:50.864194Z,2.31762,success,,769,27,796,0.004655,gpt-5.5,openai,chat,20260608T183345551199Z019ea883-1d4f-7373-b279-44358c961f11.20260608T183348545949Z019ea883-2901-71c1-99a7-6f7920418483.20260608T183348546574Z019ea883-2902-7b33-bcc3-0ec1c678639e
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183350866858Z-5a8c7595554299585d9e36b6-r0,019ea883-3212-79b3-928d-dc99be31ad8a,019ea883-3212-79b3-928d-dc99be31ad8a,,LangGraph,chain,,,2026-06-08T18:33:50.867018Z,2026-06-08T18:34:05.559295Z,14.692277,success,,3790,361,4151,0.0128402,,,,20260608T183350867018Z019ea883-3212-79b3-928d-dc99be31ad8a
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183350866858Z-5a8c7595554299585d9e36b6-r0,019ea883-3212-79b3-928d-dc99be31ad8a,019ea883-3213-7983-bc31-4582367760be,019ea883-3212-79b3-928d-dc99be31ad8a,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T18:33:50.867978Z,2026-06-08T18:33:52.143677Z,1.275699,success,,344,35,379,0.0,,,,20260608T183350867018Z019ea883-3212-79b3-928d-dc99be31ad8a.20260608T183350867978Z019ea883-3213-7983-bc31-4582367760be
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183350866858Z-5a8c7595554299585d9e36b6-r0,019ea883-3212-79b3-928d-dc99be31ad8a,019ea883-3216-7b41-9b77-d80668d9573b,019ea883-3213-7983-bc31-4582367760be,ChatOllama,llm,generate_query_or_respond,1.0,2026-06-08T18:33:50.870077Z,2026-06-08T18:33:52.141835Z,1.271758,success,,344,35,379,0.0,qwen3.5:2b,ollama,chat,20260608T183350867018Z019ea883-3212-79b3-928d-dc99be31ad8a.20260608T183350867978Z019ea883-3213-7983-bc31-4582367760be.20260608T183350870077Z019ea883-3216-7b41-9b77-d80668d9573b
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183350866858Z-5a8c7595554299585d9e36b6-r0,019ea883-3212-79b3-928d-dc99be31ad8a,019ea883-370e-7f42-9e3c-435e4497ad56,019ea883-3213-7983-bc31-4582367760be,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T18:33:52.142976Z,2026-06-08T18:33:52.143516Z,0.00054,success,,0,0,0,0.0,,,,20260608T183350867018Z019ea883-3212-79b3-928d-dc99be31ad8a.20260608T183350867978Z019ea883-3213-7983-bc31-4582367760be.20260608T183352142976Z019ea883-370e-7f42-9e3c-435e4497ad56
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183350866858Z-5a8c7595554299585d9e36b6-r0,019ea883-3212-79b3-928d-dc99be31ad8a,019ea883-3710-7bf1-86df-8319e639e7f3,019ea883-3212-79b3-928d-dc99be31ad8a,retrieve,chain,retrieve,2.0,2026-06-08T18:33:52.144145Z,2026-06-08T18:33:53.355509Z,1.211364,success,,585,6,591,0.0002436,,,,20260608T183350867018Z019ea883-3212-79b3-928d-dc99be31ad8a.20260608T183352144145Z019ea883-3710-7bf1-86df-8319e639e7f3
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183350866858Z-5a8c7595554299585d9e36b6-r0,019ea883-3212-79b3-928d-dc99be31ad8a,019ea883-3710-7bf1-86df-832e9b5099da,019ea883-3710-7bf1-86df-8319e639e7f3,retrieve_documents,tool,retrieve,2.0,2026-06-08T18:33:52.144855Z,2026-06-08T18:33:52.385247Z,0.240392,success,,0,0,0,0.0,,,,20260608T183350867018Z019ea883-3212-79b3-928d-dc99be31ad8a.20260608T183352144145Z019ea883-3710-7bf1-86df-8319e639e7f3.20260608T183352144855Z019ea883-3710-7bf1-86df-832e9b5099da
