run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea824-f4c1-7c81-8ba7-0267a760712b,,LangGraph,chain,,,2026-06-08T16:50:54.785121Z,2026-06-08T16:51:05.135897Z,10.350776,success,,5490,105,5595,0.00571,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea824-f4c1-7c81-8ba7-0270af54101d,019ea824-f4c1-7c81-8ba7-0267a760712b,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T16:50:54.785748Z,2026-06-08T16:50:58.152095Z,3.366347,success,,335,57,392,0.0,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165054785748Z019ea824-f4c1-7c81-8ba7-0270af54101d
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea824-f4c2-7b90-a5df-86c28ac5658e,019ea824-f4c1-7c81-8ba7-0270af54101d,ChatOllama,llm,generate_query_or_respond,1.0,2026-06-08T16:50:54.786651Z,2026-06-08T16:50:58.151026Z,3.364375,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165054785748Z019ea824-f4c1-7c81-8ba7-0270af54101d.20260608T165054786651Z019ea824-f4c2-7b90-a5df-86c28ac5658e
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea825-01e7-76b3-bad4-1c8e18ff56c9,019ea824-f4c1-7c81-8ba7-0270af54101d,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T16:50:58.151583Z,2026-06-08T16:50:58.151954Z,0.000371,success,,0,0,0,0.0,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165054785748Z019ea824-f4c1-7c81-8ba7-0270af54101d.20260608T165058151583Z019ea825-01e7-76b3-bad4-1c8e18ff56c9
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea825-01e8-7ad3-9903-764b11cce887,019ea824-f4c1-7c81-8ba7-0267a760712b,retrieve,chain,retrieve,2.0,2026-06-08T16:50:58.152537Z,2026-06-08T16:50:59.616647Z,1.46411,success,,878,8,886,0.0,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165058152537Z019ea825-01e8-7ad3-9903-764b11cce887
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea825-01e9-7462-9788-15057c12a33c,019ea825-01e8-7ad3-9903-764b11cce887,retrieve_documents,tool,retrieve,2.0,2026-06-08T16:50:58.153201Z,2026-06-08T16:50:58.473972Z,0.320771,success,,0,0,0,0.0,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165058152537Z019ea825-01e8-7ad3-9903-764b11cce887.20260608T165058153201Z019ea825-01e9-7462-9788-15057c12a33c
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea825-01e9-7462-9788-1515fc0e0012,019ea825-01e9-7462-9788-15057c12a33c,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T16:50:58.153988Z,2026-06-08T16:50:58.473729Z,0.319741,success,,0,0,0,0.0,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165058152537Z019ea825-01e8-7ad3-9903-764b11cce887.20260608T165058153201Z019ea825-01e9-7462-9788-15057c12a33c.20260608T165058153988Z019ea825-01e9-7462-9788-1515fc0e0012
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea825-01ea-7e42-8f06-de89c6a81399,019ea825-01e8-7ad3-9903-764b11cce887,retrieve_documents,tool,retrieve,2.0,2026-06-08T16:50:58.154472Z,2026-06-08T16:50:58.475097Z,0.320625,success,,0,0,0,0.0,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165058152537Z019ea825-01e8-7ad3-9903-764b11cce887.20260608T165058154472Z019ea825-01ea-7e42-8f06-de89c6a81399
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea825-01ea-7e42-8f06-de9aa830493b,019ea825-01ea-7e42-8f06-de89c6a81399,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T16:50:58.154956Z,2026-06-08T16:50:58.474964Z,0.320008,success,,0,0,0,0.0,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165058152537Z019ea825-01e8-7ad3-9903-764b11cce887.20260608T165058154472Z019ea825-01ea-7e42-8f06-de89c6a81399.20260608T165058154956Z019ea825-01ea-7e42-8f06-de9aa830493b
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea825-032b-7761-881c-6b1cf8fdb6e2,019ea825-01e8-7ad3-9903-764b11cce887,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T16:50:58.475375Z,2026-06-08T16:50:59.616487Z,1.141112,success,,878,8,886,0.0,,,,20260608T165054785121Z019ea824-f4c1-7c81-8ba7-0267a760712b.20260608T165058152537Z019ea825-01e8-7ad3-9903-764b11cce887.20260608T165058475375Z019ea825-032b-7761-881c-6b1cf8fdb6e2
