run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-afa6-7bf3-af35-421a978fbfa8,,LangGraph,chain,,,2026-06-08T15:25:25.286693Z,2026-06-08T15:25:37.331340Z,12.044647,success,,5490,105,5595,0.00571,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-afb8-7062-b4a7-858cf33bcaa0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T15:25:25.304099Z,2026-06-08T15:25:29.305843Z,4.001744,success,,335,57,392,0.0,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152525304099Z019ea7d6-afb8-7062-b4a7-858cf33bcaa0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-afba-7ae1-a5e9-b6e061a4c950,019ea7d6-afb8-7062-b4a7-858cf33bcaa0,ChatOllama,llm,generate_query_or_respond,1.0,2026-06-08T15:25:25.306366Z,2026-06-08T15:25:29.302905Z,3.996539,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152525304099Z019ea7d6-afb8-7062-b4a7-858cf33bcaa0.20260608T152525306366Z019ea7d6-afba-7ae1-a5e9-b6e061a4c950
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-bf58-7bc3-ac7a-92d7761b279b,019ea7d6-afb8-7062-b4a7-858cf33bcaa0,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T15:25:29.304992Z,2026-06-08T15:25:29.305585Z,0.000593,success,,0,0,0,0.0,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152525304099Z019ea7d6-afb8-7062-b4a7-858cf33bcaa0.20260608T152529304992Z019ea7d6-bf58-7bc3-ac7a-92d7761b279b
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e,019ea7d6-afa6-7bf3-af35-421a978fbfa8,retrieve,chain,retrieve,2.0,2026-06-08T15:25:29.306477Z,2026-06-08T15:25:30.894998Z,1.588521,success,,878,8,886,0.0,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152529306477Z019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-bf5b-7583-9ec3-178e57e384db,019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e,retrieve_documents,tool,retrieve,2.0,2026-06-08T15:25:29.307719Z,2026-06-08T15:25:29.654372Z,0.346653,success,,0,0,0,0.0,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152529306477Z019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e.20260608T152529307719Z019ea7d6-bf5b-7583-9ec3-178e57e384db
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-bf5c-7b93-8401-dbbaaebdfb6c,019ea7d6-bf5b-7583-9ec3-178e57e384db,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T15:25:29.308442Z,2026-06-08T15:25:29.654175Z,0.345733,success,,0,0,0,0.0,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152529306477Z019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e.20260608T152529307719Z019ea7d6-bf5b-7583-9ec3-178e57e384db.20260608T152529308442Z019ea7d6-bf5c-7b93-8401-dbbaaebdfb6c
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-bf5d-7502-829f-0950eccc9d38,019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e,retrieve_documents,tool,retrieve,2.0,2026-06-08T15:25:29.309082Z,2026-06-08T15:25:29.654724Z,0.345642,success,,0,0,0,0.0,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152529306477Z019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e.20260608T152529309082Z019ea7d6-bf5d-7502-829f-0950eccc9d38
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-bf5d-7502-829f-096d940c5581,019ea7d6-bf5d-7502-829f-0950eccc9d38,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T15:25:29.309694Z,2026-06-08T15:25:29.654661Z,0.344967,success,,0,0,0,0.0,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152529306477Z019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e.20260608T152529309082Z019ea7d6-bf5d-7502-829f-0950eccc9d38.20260608T152529309694Z019ea7d6-bf5d-7502-829f-096d940c5581
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-c0b7-7a31-9bae-448d04a85d2c,019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T15:25:29.655082Z,2026-06-08T15:25:30.894825Z,1.239743,success,,878,8,886,0.0,,,,20260608T152525286693Z019ea7d6-afa6-7bf3-af35-421a978fbfa8.20260608T152529306477Z019ea7d6-bf5a-7711-a1f0-3d8c0653ae9e.20260608T152529655082Z019ea7d6-c0b7-7a31-9bae-448d04a85d2c
