run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-2c3a-77f3-8b72-5f56ec745818,,LangGraph,chain,,,2026-06-08T17:07:32.026897Z,2026-06-08T17:07:36.377488Z,4.350591,success,,1761,58,1819,0.0044482,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-2c3b-7921-8275-290289442f89,019ea834-2c3a-77f3-8b72-5f56ec745818,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-06-08T17:07:32.027436Z,2026-06-08T17:07:33.452543Z,1.425107,success,,109,49,158,0.000122,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170732027436Z019ea834-2c3b-7921-8275-290289442f89
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-2c3c-7bc2-8919-de377d0677c8,019ea834-2c3b-7921-8275-290289442f89,ChatOpenAI,llm,generate_query_or_respond,1.0,2026-06-08T17:07:32.028335Z,2026-06-08T17:07:33.451373Z,1.423038,success,,109,49,158,0.000122,gpt-4.1-mini,openai,chat,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170732027436Z019ea834-2c3b-7921-8275-290289442f89.20260608T170732028335Z019ea834-2c3c-7bc2-8919-de377d0677c8
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-31cc-7232-bace-35f2a4aacedc,019ea834-2c3b-7921-8275-290289442f89,tools_condition,chain,generate_query_or_respond,1.0,2026-06-08T17:07:33.452052Z,2026-06-08T17:07:33.452423Z,0.000371,success,,0,0,0,0.0,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170732027436Z019ea834-2c3b-7921-8275-290289442f89.20260608T170733452052Z019ea834-31cc-7232-bace-35f2a4aacedc
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-31cd-7923-839e-5510af9a904d,019ea834-2c3a-77f3-8b72-5f56ec745818,retrieve,chain,retrieve,2.0,2026-06-08T17:07:33.453046Z,2026-06-08T17:07:34.774622Z,1.321576,success,,883,5,888,0.0003612,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170733453046Z019ea834-31cd-7923-839e-5510af9a904d
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-31cd-7923-839e-5523a190035c,019ea834-31cd-7923-839e-5510af9a904d,retrieve_documents,tool,retrieve,2.0,2026-06-08T17:07:33.453729Z,2026-06-08T17:07:34.158210Z,0.704481,success,,0,0,0,0.0,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170733453046Z019ea834-31cd-7923-839e-5510af9a904d.20260608T170733453729Z019ea834-31cd-7923-839e-5523a190035c
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-31ce-79d2-b28c-0812ec27ce61,019ea834-31cd-7923-839e-5523a190035c,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T17:07:33.454754Z,2026-06-08T17:07:34.157958Z,0.703204,success,,0,0,0,0.0,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170733453046Z019ea834-31cd-7923-839e-5510af9a904d.20260608T170733453729Z019ea834-31cd-7923-839e-5523a190035c.20260608T170733454754Z019ea834-31ce-79d2-b28c-0812ec27ce61
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-31ce-79d2-b28c-0808ba3fcc72,019ea834-31cd-7923-839e-5510af9a904d,retrieve_documents,tool,retrieve,2.0,2026-06-08T17:07:33.454208Z,2026-06-08T17:07:34.159161Z,0.704953,success,,0,0,0,0.0,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170733453046Z019ea834-31cd-7923-839e-5510af9a904d.20260608T170733454208Z019ea834-31ce-79d2-b28c-0808ba3fcc72
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-31cf-7c13-b808-d3f946883f0d,019ea834-31ce-79d2-b28c-0808ba3fcc72,VectorStoreRetriever,retriever,retrieve,2.0,2026-06-08T17:07:33.455328Z,2026-06-08T17:07:34.159055Z,0.703727,success,,0,0,0,0.0,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170733453046Z019ea834-31cd-7923-839e-5510af9a904d.20260608T170733454208Z019ea834-31ce-79d2-b28c-0808ba3fcc72.20260608T170733455328Z019ea834-31cf-7c13-b808-d3f946883f0d
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-348f-7632-a7b7-ba8abf7683fa,019ea834-31cd-7923-839e-5510af9a904d,decide_after_retrieval,chain,retrieve,2.0,2026-06-08T17:07:34.159444Z,2026-06-08T17:07:34.774562Z,0.615118,success,,883,5,888,0.0003612,,,,20260608T170732026897Z019ea834-2c3a-77f3-8b72-5f56ec745818.20260608T170733453046Z019ea834-31cd-7923-839e-5510af9a904d.20260608T170734159444Z019ea834-348f-7632-a7b7-ba8abf7683fa
