run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-6804-7662-8ec1-eec0f0598e32,,LangGraph,chain,,,2026-05-06T13:39:00.740562Z,2026-05-06T13:39:10.429031Z,9.688469,success,,5490,128,5618,0.0064,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-6811-7070-946a-66b870c84b4d,019dfd83-6804-7662-8ec1-eec0f0598e32,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T13:39:00.753262Z,2026-05-06T13:39:03.788204Z,3.034942,success,,335,57,392,0.0,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133900753262Z019dfd83-6811-7070-946a-66b870c84b4d
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-6813-7f83-bd5b-47c0d2b3a923,019dfd83-6811-7070-946a-66b870c84b4d,ChatOllama,llm,generate_query_or_respond,1.0,2026-05-06T13:39:00.755815Z,2026-05-06T13:39:03.786509Z,3.030694,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133900753262Z019dfd83-6811-7070-946a-66b870c84b4d.20260506T133900755815Z019dfd83-6813-7f83-bd5b-47c0d2b3a923
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-73eb-7870-98b7-f4db4e04969d,019dfd83-6811-7070-946a-66b870c84b4d,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T13:39:03.787580Z,2026-05-06T13:39:03.788022Z,0.000442,success,,0,0,0,0.0,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133900753262Z019dfd83-6811-7070-946a-66b870c84b4d.20260506T133903787580Z019dfd83-73eb-7870-98b7-f4db4e04969d
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-73ec-7da0-8d0a-dfa607001abe,019dfd83-6804-7662-8ec1-eec0f0598e32,retrieve,chain,retrieve,2.0,2026-05-06T13:39:03.788879Z,2026-05-06T13:39:05.473697Z,1.684818,success,,878,8,886,0.0,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133903788879Z019dfd83-73ec-7da0-8d0a-dfa607001abe
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-73ed-7c40-b622-c9db8c51603c,019dfd83-73ec-7da0-8d0a-dfa607001abe,retrieve_documents,tool,retrieve,2.0,2026-05-06T13:39:03.789791Z,2026-05-06T13:39:04.363352Z,0.573561,success,,0,0,0,0.0,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133903788879Z019dfd83-73ec-7da0-8d0a-dfa607001abe.20260506T133903789791Z019dfd83-73ed-7c40-b622-c9db8c51603c
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-73ee-7c70-bb4c-dd56635f5286,019dfd83-73ed-7c40-b622-c9db8c51603c,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T13:39:03.790172Z,2026-05-06T13:39:04.363091Z,0.572919,success,,0,0,0,0.0,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133903788879Z019dfd83-73ec-7da0-8d0a-dfa607001abe.20260506T133903789791Z019dfd83-73ed-7c40-b622-c9db8c51603c.20260506T133903790172Z019dfd83-73ee-7c70-bb4c-dd56635f5286
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-73ef-7841-9c44-6ed597989bde,019dfd83-73ec-7da0-8d0a-dfa607001abe,retrieve_documents,tool,retrieve,2.0,2026-05-06T13:39:03.791536Z,2026-05-06T13:39:04.449597Z,0.658061,success,,0,0,0,0.0,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133903788879Z019dfd83-73ec-7da0-8d0a-dfa607001abe.20260506T133903791536Z019dfd83-73ef-7841-9c44-6ed597989bde
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-73ef-7841-9c44-6ee30e7a3d11,019dfd83-73ef-7841-9c44-6ed597989bde,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T13:39:03.791753Z,2026-05-06T13:39:04.449447Z,0.657694,success,,0,0,0,0.0,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133903788879Z019dfd83-73ec-7da0-8d0a-dfa607001abe.20260506T133903791536Z019dfd83-73ef-7841-9c44-6ed597989bde.20260506T133903791753Z019dfd83-73ef-7841-9c44-6ee30e7a3d11
v3-qwen3.5-2b-gpt-5.5-20260506T133900739050Z-5a8b57f25542995d1e6f1371-r0,019dfd83-6804-7662-8ec1-eec0f0598e32,019dfd83-7682-76d2-8f17-876e4799fc55,019dfd83-73ec-7da0-8d0a-dfa607001abe,decide_after_retrieval,chain,retrieve,2.0,2026-05-06T13:39:04.450022Z,2026-05-06T13:39:05.473428Z,1.023406,success,,878,8,886,0.0,,,,20260506T133900740562Z019dfd83-6804-7662-8ec1-eec0f0598e32.20260506T133903788879Z019dfd83-73ec-7da0-8d0a-dfa607001abe.20260506T133904450022Z019dfd83-7682-76d2-8f17-876e4799fc55
