run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd69-feec-7713-87c1-99dccd799842,,LangGraph,chain,,,2026-05-06T13:11:15.436643Z,2026-05-06T13:11:25.324555Z,9.887912,success,,6331,107,6438,0.009945,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd69-fefa-7153-bdb9-abf9619374ce,019dfd69-feec-7713-87c1-99dccd799842,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T13:11:15.450417Z,2026-05-06T13:11:18.554960Z,3.104543,success,,335,57,392,0.0,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131115450417Z019dfd69-fefa-7153-bdb9-abf9619374ce
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd69-fefc-7c90-9b1c-04a4fe5e4406,019dfd69-fefa-7153-bdb9-abf9619374ce,ChatOllama,llm,generate_query_or_respond,1.0,2026-05-06T13:11:15.452225Z,2026-05-06T13:11:18.551814Z,3.099589,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131115450417Z019dfd69-fefa-7153-bdb9-abf9619374ce.20260506T131115452225Z019dfd69-fefc-7c90-9b1c-04a4fe5e4406
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd6a-0b1a-7b42-9115-c82da714b03f,019dfd69-fefa-7153-bdb9-abf9619374ce,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T13:11:18.554312Z,2026-05-06T13:11:18.554771Z,0.000459,success,,0,0,0,0.0,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131115450417Z019dfd69-fefa-7153-bdb9-abf9619374ce.20260506T131118554312Z019dfd6a-0b1a-7b42-9115-c82da714b03f
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad,019dfd69-feec-7713-87c1-99dccd799842,retrieve,chain,retrieve,2.0,2026-05-06T13:11:18.555684Z,2026-05-06T13:11:19.882793Z,1.327109,success,,878,8,886,0.0,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131118555684Z019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd6a-0b1d-7593-9595-4bc7d58c22bb,019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad,retrieve_documents,tool,retrieve,2.0,2026-05-06T13:11:18.557234Z,2026-05-06T13:11:18.862341Z,0.305107,success,,0,0,0,0.0,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131118555684Z019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad.20260506T131118557234Z019dfd6a-0b1d-7593-9595-4bc7d58c22bb
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd6a-0b1d-7593-9595-4bd571fec3c6,019dfd6a-0b1d-7593-9595-4bc7d58c22bb,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T13:11:18.557970Z,2026-05-06T13:11:18.862174Z,0.304204,success,,0,0,0,0.0,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131118555684Z019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad.20260506T131118557234Z019dfd6a-0b1d-7593-9595-4bc7d58c22bb.20260506T131118557970Z019dfd6a-0b1d-7593-9595-4bd571fec3c6
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd6a-0b1e-70c3-b139-d09552483d16,019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad,retrieve_documents,tool,retrieve,2.0,2026-05-06T13:11:18.558734Z,2026-05-06T13:11:18.862632Z,0.303898,success,,0,0,0,0.0,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131118555684Z019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad.20260506T131118558734Z019dfd6a-0b1e-70c3-b139-d09552483d16
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd6a-0b1f-7683-9f9b-03f527118bf4,019dfd6a-0b1e-70c3-b139-d09552483d16,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T13:11:18.559507Z,2026-05-06T13:11:18.862579Z,0.303072,success,,0,0,0,0.0,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131118555684Z019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad.20260506T131118558734Z019dfd6a-0b1e-70c3-b139-d09552483d16.20260506T131118559507Z019dfd6a-0b1f-7683-9f9b-03f527118bf4
v3-qwen3.5-2b-opus-4-7-20260506T131115435228Z-5a8b57f25542995d1e6f1371-r0,019dfd69-feec-7713-87c1-99dccd799842,019dfd6a-0c4f-7cc2-8091-8b504aec3465,019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad,decide_after_retrieval,chain,retrieve,2.0,2026-05-06T13:11:18.863182Z,2026-05-06T13:11:19.882638Z,1.019456,success,,878,8,886,0.0,,,,20260506T131115436643Z019dfd69-feec-7713-87c1-99dccd799842.20260506T131118555684Z019dfd6a-0b1b-7f03-86e5-2ac21d8d5cad.20260506T131118863182Z019dfd6a-0c4f-7cc2-8091-8b504aec3465
