run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-bf51-7110-a55b-82ead4478a82,,LangGraph,chain,,,2026-05-06T11:22:51.089881Z,2026-05-06T11:23:00.580989Z,9.491108,success,,5578,103,5681,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-bf5f-7e00-b2a9-f6af2202bff7,019dfd06-bf51-7110-a55b-82ead4478a82,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T11:22:51.103426Z,2026-05-06T11:22:54.224886Z,3.12146,success,,335,57,392,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112251103426Z019dfd06-bf5f-7e00-b2a9-f6af2202bff7
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-bf61-7833-aecd-cbfa2d461db5,019dfd06-bf5f-7e00-b2a9-f6af2202bff7,ChatOllama,llm,generate_query_or_respond,1.0,2026-05-06T11:22:51.105414Z,2026-05-06T11:22:54.220962Z,3.115548,success,,335,57,392,0.0,qwen3.5:2b,ollama,chat,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112251103426Z019dfd06-bf5f-7e00-b2a9-f6af2202bff7.20260506T112251105414Z019dfd06-bf61-7833-aecd-cbfa2d461db5
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-cb8f-7d01-9a8b-83b00c6ee7b5,019dfd06-bf5f-7e00-b2a9-f6af2202bff7,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T11:22:54.224014Z,2026-05-06T11:22:54.224655Z,0.000641,success,,0,0,0,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112251103426Z019dfd06-bf5f-7e00-b2a9-f6af2202bff7.20260506T112254224014Z019dfd06-cb8f-7d01-9a8b-83b00c6ee7b5
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-cb92-7803-a269-7114f7eaf3b3,019dfd06-bf51-7110-a55b-82ead4478a82,retrieve,chain,retrieve,2.0,2026-05-06T11:22:54.226140Z,2026-05-06T11:22:55.744020Z,1.51788,success,,878,8,886,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112254226140Z019dfd06-cb92-7803-a269-7114f7eaf3b3
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-cb93-7061-a376-820710b3e3a9,019dfd06-cb92-7803-a269-7114f7eaf3b3,retrieve_documents,tool,retrieve,2.0,2026-05-06T11:22:54.227660Z,2026-05-06T11:22:54.523011Z,0.295351,success,,0,0,0,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112254226140Z019dfd06-cb92-7803-a269-7114f7eaf3b3.20260506T112254227660Z019dfd06-cb93-7061-a376-820710b3e3a9
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-cb94-7950-be60-765342785b83,019dfd06-cb93-7061-a376-820710b3e3a9,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T11:22:54.228308Z,2026-05-06T11:22:54.522841Z,0.294533,success,,0,0,0,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112254226140Z019dfd06-cb92-7803-a269-7114f7eaf3b3.20260506T112254227660Z019dfd06-cb93-7061-a376-820710b3e3a9.20260506T112254228308Z019dfd06-cb94-7950-be60-765342785b83
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-cb94-7950-be60-7665cde436ed,019dfd06-cb92-7803-a269-7114f7eaf3b3,retrieve_documents,tool,retrieve,2.0,2026-05-06T11:22:54.228702Z,2026-05-06T11:22:54.736395Z,0.507693,success,,0,0,0,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112254226140Z019dfd06-cb92-7803-a269-7114f7eaf3b3.20260506T112254228702Z019dfd06-cb94-7950-be60-7665cde436ed
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-cb95-7392-b9aa-dd09fd7eec69,019dfd06-cb94-7950-be60-7665cde436ed,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T11:22:54.229782Z,2026-05-06T11:22:54.736270Z,0.506488,success,,0,0,0,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112254226140Z019dfd06-cb92-7803-a269-7114f7eaf3b3.20260506T112254228702Z019dfd06-cb94-7950-be60-7665cde436ed.20260506T112254229782Z019dfd06-cb95-7392-b9aa-dd09fd7eec69
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-cd91-73a0-ae35-b1b14caf3a79,019dfd06-cb92-7803-a269-7114f7eaf3b3,decide_after_retrieval,chain,retrieve,2.0,2026-05-06T11:22:54.737718Z,2026-05-06T11:22:55.743845Z,1.006127,success,,878,8,886,0.0,,,,20260506T112251089881Z019dfd06-bf51-7110-a55b-82ead4478a82.20260506T112254226140Z019dfd06-cb92-7803-a269-7114f7eaf3b3.20260506T112254737718Z019dfd06-cd91-73a0-ae35-b1b14caf3a79
