placement_id,code,plan_model,implementation_model,test_model,review_model,base_pass,mbpp_plus_pass,cloud_api_cost,mean_latency_seconds,p95_latency_seconds,local_calls,cloud_calls,failed_runs,invocations
placement-001,GGGG,gpt-5.5-cloud,gpt-5.5-cloud,gpt-5.5-cloud,gpt-5.5-cloud,1.0,0.82,1.829945,17.183409575045808,27.298088833980728,0,200,0,200
placement-002,MGGG,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-5.5-cloud,gpt-5.5-cloud,1.0,0.86,1.7226998,23.8743371950381,83.92761650000466,0,212,0,212
placement-003,QGGG,qwen-local,gpt-5.5-cloud,gpt-5.5-cloud,gpt-5.5-cloud,0.98,0.8,2.39665,34.04351135345642,101.56348849995993,50,153,0,203
placement-004,GGGM,gpt-5.5-cloud,gpt-5.5-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,1.0,0.84,1.4273334,17.28442623010371,31.07393083401257,0,200,0,200
placement-005,MGGM,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,0.96,0.78,1.352927,22.257215584844815,76.37814645800972,0,212,0,212
placement-006,QGGM,qwen-local,gpt-5.5-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,0.92,0.7,2.1282192,33.276045788319315,80.57177604199387,50,195,0,245
placement-007,GGGQ,gpt-5.5-cloud,gpt-5.5-cloud,gpt-5.5-cloud,qwen-local,1.0,0.84,1.442195,19.473363916603848,50.99763370800065,52,154,0,206
placement-008,MGGQ,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-5.5-cloud,qwen-local,0.96,0.78,0.9206242,17.322885023293782,45.32679541700054,51,152,0,203
placement-009,QGGQ,qwen-local,gpt-5.5-cloud,gpt-5.5-cloud,qwen-local,0.94,0.78,1.643995,31.574539695883868,71.33158741699299,104,108,0,212
placement-010,GMGG,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-5.5-cloud,1.0,0.84,1.5204224,19.649123771620214,48.23476224998012,0,203,0,203
placement-011,MMGG,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-5.5-cloud,0.96,0.78,1.1962612,21.03012183916173,77.6618975000456,0,212,0,212
placement-012,QMGG,qwen-local,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-5.5-cloud,0.92,0.7,2.182632,34.21949609091971,72.41539833298884,50,195,0,245
placement-013,GMGM,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,0.96,0.82,1.2215222000000001,16.111532159155466,71.7583980000345,0,212,0,212
placement-014,MMGM,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,0.96,0.8,0.6901586,18.091136936693218,72.19693083397578,0,212,0,212
placement-015,QMGM,qwen-local,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,0.88,0.62,1.1296476,26.844063285036246,52.45968075003475,50,195,0,245
placement-016,GMGQ,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,qwen-local,0.98,0.84,1.1608734,17.443618073296967,30.425080916960724,52,154,0,206
placement-017,MMGQ,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,qwen-local,0.94,0.76,0.6340822,18.8896952066198,75.0867510419921,51,152,0,203
placement-018,QMGQ,qwen-local,gpt-4.1-mini-cloud,gpt-5.5-cloud,qwen-local,0.86,0.6,1.124408,28.897062672537285,62.177681332977954,110,120,0,230
placement-019,GQGG,gpt-5.5-cloud,qwen-local,gpt-5.5-cloud,gpt-5.5-cloud,0.92,0.82,2.040785,25.627592126807432,74.65453633404104,63,176,0,239
