run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-3ee2-7e62-a461-d2224052fd55,,LangGraph,chain,,,2026-06-20T20:57:44.418338Z,2026-06-20T20:57:56.122631Z,11.704293,success,,1900,552,2452,0.0008548,,,,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-3efa-73f2-8ffd-f7ce4dc234b5,019ee6d3-3ee2-7e62-a461-d2224052fd55,understand_and_plan,chain,understand_and_plan,1.0,2026-06-20T20:57:44.442396Z,2026-06-20T20:57:47.198978Z,2.756582,success,,123,243,366,0.000438,,,,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205744442396Z019ee6d3-3efa-73f2-8ffd-f7ce4dc234b5
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-3efa-73f2-8ffd-f7d48ea1c016,019ee6d3-3efa-73f2-8ffd-f7ce4dc234b5,ChatOpenAI,llm,understand_and_plan,1.0,2026-06-20T20:57:44.442938Z,2026-06-20T20:57:47.198409Z,2.755471,success,,123,243,366,0.000438,gpt-4.1-mini,openai,chat,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205744442396Z019ee6d3-3efa-73f2-8ffd-f7ce4dc234b5.20260620T205744442938Z019ee6d3-3efa-73f2-8ffd-f7d48ea1c016
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-49bf-72b3-b456-68d572bdc8ba,019ee6d3-3ee2-7e62-a461-d2224052fd55,implement_solution,chain,implement_solution,2.0,2026-06-20T20:57:47.199764Z,2026-06-20T20:57:50.029165Z,2.829401,success,,418,23,441,0.0,,,,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205747199764Z019ee6d3-49bf-72b3-b456-68d572bdc8ba
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-49c0-7021-a1af-77b60d966c32,019ee6d3-49bf-72b3-b456-68d572bdc8ba,ChatOllama,llm,implement_solution,2.0,2026-06-20T20:57:47.200424Z,2026-06-20T20:57:50.027390Z,2.826966,success,,418,23,441,0.0,qwen3.5:2b,ollama,chat,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205747199764Z019ee6d3-49bf-72b3-b456-68d572bdc8ba.20260620T205747200424Z019ee6d3-49c0-7021-a1af-77b60d966c32
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-54cf-7800-969b-323f4ea3e723,019ee6d3-3ee2-7e62-a461-d2224052fd55,generate_tests,chain,generate_tests,3.0,2026-06-20T20:57:50.031575Z,2026-06-20T20:57:55.361822Z,5.330247,success,,437,256,693,0.0,,,,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205750031575Z019ee6d3-54cf-7800-969b-323f4ea3e723
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-54d0-7e71-925d-01e8cb5cfdbe,019ee6d3-54cf-7800-969b-323f4ea3e723,ChatOllama,llm,generate_tests,3.0,2026-06-20T20:57:50.032917Z,2026-06-20T20:57:55.361034Z,5.328117,success,,437,256,693,0.0,qwen3.5:2b,ollama,chat,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205750031575Z019ee6d3-54cf-7800-969b-323f4ea3e723.20260620T205750032917Z019ee6d3-54d0-7e71-925d-01e8cb5cfdbe
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-69a2-78a3-96cd-74e218b8b72f,019ee6d3-3ee2-7e62-a461-d2224052fd55,run_tests,chain,run_tests,4.0,2026-06-20T20:57:55.362744Z,2026-06-20T20:57:55.415873Z,0.053129,success,,0,0,0,0.0,,,,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205755362744Z019ee6d3-69a2-78a3-96cd-74e218b8b72f
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-69d8-7b60-be8b-10d072057768,019ee6d3-3ee2-7e62-a461-d2224052fd55,review_solution,chain,review_solution,5.0,2026-06-20T20:57:55.416572Z,2026-06-20T20:57:56.122106Z,0.705534,success,,922,30,952,0.0004168,,,,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205755416572Z019ee6d3-69d8-7b60-be8b-10d072057768
v2-qwen3.5-2bgpt-4.1-mini-20260620T205744416939Z-Mbpp-2-r0,019ee6d3-3ee2-7e62-a461-d2224052fd55,019ee6d3-69d9-7f20-87cb-2b9d922821c0,019ee6d3-69d8-7b60-be8b-10d072057768,ChatOpenAI,llm,review_solution,5.0,2026-06-20T20:57:55.417326Z,2026-06-20T20:57:56.119444Z,0.702118,success,,922,30,952,0.0004168,gpt-4.1-mini,openai,chat,20260620T205744418338Z019ee6d3-3ee2-7e62-a461-d2224052fd55.20260620T205755416572Z019ee6d3-69d8-7b60-be8b-10d072057768.20260620T205755417326Z019ee6d3-69d9-7f20-87cb-2b9d922821c0
