run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v1-qwen3.5-2b-20260616T201336616610Z-Mbpp-2-r0,019ed211-67e9-7631-b536-fd2a8747d655,019ed211-67e9-7631-b536-fd2a8747d655,,LangGraph,chain,,,2026-06-16T20:13:36.617829Z,2026-06-16T20:13:42.604252Z,5.986423,success,,262,91,353,0.0,,,,20260616T201336617829Z019ed211-67e9-7631-b536-fd2a8747d655
v1-qwen3.5-2b-20260616T201336616610Z-Mbpp-2-r0,019ed211-67e9-7631-b536-fd2a8747d655,019ed211-6800-7b53-9dc8-694dcc41f304,019ed211-67e9-7631-b536-fd2a8747d655,generate_solution,chain,generate_solution,1.0,2026-06-16T20:13:36.640821Z,2026-06-16T20:13:41.100562Z,4.459741,success,,262,91,353,0.0,,,,20260616T201336617829Z019ed211-67e9-7631-b536-fd2a8747d655.20260616T201336640821Z019ed211-6800-7b53-9dc8-694dcc41f304
v1-qwen3.5-2b-20260616T201336616610Z-Mbpp-2-r0,019ed211-67e9-7631-b536-fd2a8747d655,019ed211-6801-7923-a114-8960408f20ba,019ed211-6800-7b53-9dc8-694dcc41f304,ChatOllama,llm,generate_solution,1.0,2026-06-16T20:13:36.641263Z,2026-06-16T20:13:41.097032Z,4.455769,success,,262,91,353,0.0,qwen3.5:2b,ollama,chat,20260616T201336617829Z019ed211-67e9-7631-b536-fd2a8747d655.20260616T201336640821Z019ed211-6800-7b53-9dc8-694dcc41f304.20260616T201336641263Z019ed211-6801-7923-a114-8960408f20ba
v1-qwen3.5-2b-20260616T201336616610Z-Mbpp-2-r0,019ed211-67e9-7631-b536-fd2a8747d655,019ed211-7971-7b21-9819-66a0e55702b9,019ed211-67e9-7631-b536-fd2a8747d655,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T20:13:41.105468Z,2026-06-16T20:13:42.604017Z,1.498549,success,,0,0,0,0.0,,,,20260616T201336617829Z019ed211-67e9-7631-b536-fd2a8747d655.20260616T201341105468Z019ed211-7971-7b21-9819-66a0e55702b9
v1-qwen3.5-2b-20260616T201336616610Z-Mbpp-2-r0,019ed211-67e9-7631-b536-fd2a8747d655,019ed211-7f4b-74e3-a448-c13138e07bd7,019ed211-7971-7b21-9819-66a0e55702b9,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T20:13:42.603535Z,2026-06-16T20:13:42.603896Z,0.000361,success,,0,0,0,0.0,,,,20260616T201336617829Z019ed211-67e9-7631-b536-fd2a8747d655.20260616T201341105468Z019ed211-7971-7b21-9819-66a0e55702b9.20260616T201342603535Z019ed211-7f4b-74e3-a448-c13138e07bd7
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-8910-7811-9b74-7012d864f7c8,,LangGraph,chain,,,2026-06-16T20:13:45.104778Z,2026-06-16T20:13:57.388877Z,12.284099,success,,954,408,1362,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-8911-7e11-b5d0-9999d29fbfe8,019ed211-8910-7811-9b74-7012d864f7c8,generate_solution,chain,generate_solution,1.0,2026-06-16T20:13:45.105616Z,2026-06-16T20:13:47.760480Z,2.654864,success,,172,136,308,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201345105616Z019ed211-8911-7e11-b5d0-9999d29fbfe8
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-8911-7e11-b5d0-99a277e74558,019ed211-8911-7e11-b5d0-9999d29fbfe8,ChatOllama,llm,generate_solution,1.0,2026-06-16T20:13:45.105857Z,2026-06-16T20:13:47.759553Z,2.653696,success,,172,136,308,0.0,qwen3.5:2b,ollama,chat,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201345105616Z019ed211-8911-7e11-b5d0-9999d29fbfe8.20260616T201345105857Z019ed211-8911-7e11-b5d0-99a277e74558
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-9371-7ec2-976b-cd1718f50514,019ed211-8910-7811-9b74-7012d864f7c8,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T20:13:47.761122Z,2026-06-16T20:13:49.065756Z,1.304634,success,,0,0,0,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201347761122Z019ed211-9371-7ec2-976b-cd1718f50514
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-9889-7562-b5d7-e5d090e09543,019ed211-9371-7ec2-976b-cd1718f50514,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T20:13:49.065349Z,2026-06-16T20:13:49.065680Z,0.000331,success,,0,0,0,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201347761122Z019ed211-9371-7ec2-976b-cd1718f50514.20260616T201349065349Z019ed211-9889-7562-b5d7-e5d090e09543
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-988a-7020-90d5-8c760fa5d99b,019ed211-8910-7811-9b74-7012d864f7c8,debug_solution,chain,debug_solution,3.0,2026-06-16T20:13:49.066089Z,2026-06-16T20:13:51.903581Z,2.837492,success,,391,136,527,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201349066089Z019ed211-988a-7020-90d5-8c760fa5d99b
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-988a-7020-90d5-8c86a6ed3d62,019ed211-988a-7020-90d5-8c760fa5d99b,ChatOllama,llm,debug_solution,3.0,2026-06-16T20:13:49.066479Z,2026-06-16T20:13:51.902939Z,2.83646,success,,391,136,527,0.0,qwen3.5:2b,ollama,chat,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201349066089Z019ed211-988a-7020-90d5-8c760fa5d99b.20260616T201349066479Z019ed211-988a-7020-90d5-8c86a6ed3d62
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-a3a0-7900-8a7f-97c93ca635ef,019ed211-8910-7811-9b74-7012d864f7c8,run_visible_tests,chain,run_visible_tests,4.0,2026-06-16T20:13:51.904219Z,2026-06-16T20:13:53.212733Z,1.308514,success,,0,0,0,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201351904219Z019ed211-a3a0-7900-8a7f-97c93ca635ef
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-a8bc-7021-83c1-46f4df5f1633,019ed211-a3a0-7900-8a7f-97c93ca635ef,decide_after_tests,chain,run_visible_tests,4.0,2026-06-16T20:13:53.212309Z,2026-06-16T20:13:53.212655Z,0.000346,success,,0,0,0,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201351904219Z019ed211-a3a0-7900-8a7f-97c93ca635ef.20260616T201353212309Z019ed211-a8bc-7021-83c1-46f4df5f1633
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-a8bc-7021-83c1-470c4d98a742,019ed211-8910-7811-9b74-7012d864f7c8,debug_solution,chain,debug_solution,5.0,2026-06-16T20:13:53.213003Z,2026-06-16T20:13:56.035543Z,2.82254,success,,391,136,527,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201353213003Z019ed211-a8bc-7021-83c1-470c4d98a742
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-a8bd-7722-998b-f86915273bb9,019ed211-a8bc-7021-83c1-470c4d98a742,ChatOllama,llm,debug_solution,5.0,2026-06-16T20:13:53.213238Z,2026-06-16T20:13:56.035307Z,2.822069,success,,391,136,527,0.0,qwen3.5:2b,ollama,chat,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201353213003Z019ed211-a8bc-7021-83c1-470c4d98a742.20260616T201353213238Z019ed211-a8bd-7722-998b-f86915273bb9
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-b3c3-7c12-96b7-304ba0b9122a,019ed211-8910-7811-9b74-7012d864f7c8,run_visible_tests,chain,run_visible_tests,6.0,2026-06-16T20:13:56.035820Z,2026-06-16T20:13:57.388643Z,1.352823,success,,0,0,0,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201356035820Z019ed211-b3c3-7c12-96b7-304ba0b9122a
v1-qwen3.5-2b-20260616T201345104455Z-Mbpp-3-r0,019ed211-8910-7811-9b74-7012d864f7c8,019ed211-b90c-7261-ac21-d53920dea388,019ed211-b3c3-7c12-96b7-304ba0b9122a,decide_after_tests,chain,run_visible_tests,6.0,2026-06-16T20:13:57.388213Z,2026-06-16T20:13:57.388556Z,0.000343,success,,0,0,0,0.0,,,,20260616T201345104778Z019ed211-8910-7811-9b74-7012d864f7c8.20260616T201356035820Z019ed211-b3c3-7c12-96b7-304ba0b9122a.20260616T201357388213Z019ed211-b90c-7261-ac21-d53920dea388
v1-qwen3.5-2b-20260616T201400149273Z-Mbpp-4-r0,019ed211-c3d5-7b41-80e5-a61ab70ce2ea,019ed211-c3d5-7b41-80e5-a61ab70ce2ea,,LangGraph,chain,,,2026-06-16T20:14:00.149531Z,2026-06-16T20:14:08.510150Z,8.360619,success,,352,341,693,0.0,,,,20260616T201400149531Z019ed211-c3d5-7b41-80e5-a61ab70ce2ea
v1-qwen3.5-2b-20260616T201400149273Z-Mbpp-4-r0,019ed211-c3d5-7b41-80e5-a61ab70ce2ea,019ed211-c3d6-7b41-bbfa-960b84abb794,019ed211-c3d5-7b41-80e5-a61ab70ce2ea,generate_solution,chain,generate_solution,1.0,2026-06-16T20:14:00.150345Z,2026-06-16T20:14:07.098976Z,6.948631,success,,352,341,693,0.0,,,,20260616T201400149531Z019ed211-c3d5-7b41-80e5-a61ab70ce2ea.20260616T201400150345Z019ed211-c3d6-7b41-bbfa-960b84abb794
v1-qwen3.5-2b-20260616T201400149273Z-Mbpp-4-r0,019ed211-c3d5-7b41-80e5-a61ab70ce2ea,019ed211-c3d6-7b41-bbfa-961df5fa0518,019ed211-c3d6-7b41-bbfa-960b84abb794,ChatOllama,llm,generate_solution,1.0,2026-06-16T20:14:00.150534Z,2026-06-16T20:14:07.098219Z,6.947685,success,,352,341,693,0.0,qwen3.5:2b,ollama,chat,20260616T201400149531Z019ed211-c3d5-7b41-80e5-a61ab70ce2ea.20260616T201400150345Z019ed211-c3d6-7b41-bbfa-960b84abb794.20260616T201400150534Z019ed211-c3d6-7b41-bbfa-961df5fa0518
v1-qwen3.5-2b-20260616T201400149273Z-Mbpp-4-r0,019ed211-c3d5-7b41-80e5-a61ab70ce2ea,019ed211-defb-7b82-a32f-e26f71dbbb80,019ed211-c3d5-7b41-80e5-a61ab70ce2ea,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T20:14:07.099702Z,2026-06-16T20:14:08.509943Z,1.410241,success,,0,0,0,0.0,,,,20260616T201400149531Z019ed211-c3d5-7b41-80e5-a61ab70ce2ea.20260616T201407099702Z019ed211-defb-7b82-a32f-e26f71dbbb80
v1-qwen3.5-2b-20260616T201400149273Z-Mbpp-4-r0,019ed211-c3d5-7b41-80e5-a61ab70ce2ea,019ed211-e47d-7173-a58f-550410288de5,019ed211-defb-7b82-a32f-e26f71dbbb80,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T20:14:08.509518Z,2026-06-16T20:14:08.509868Z,0.00035,success,,0,0,0,0.0,,,,20260616T201400149531Z019ed211-c3d5-7b41-80e5-a61ab70ce2ea.20260616T201407099702Z019ed211-defb-7b82-a32f-e26f71dbbb80.20260616T201408509518Z019ed211-e47d-7173-a58f-550410288de5
v1-qwen3.5-2b-20260616T201411277228Z-Mbpp-6-r0,019ed211-ef4d-79c3-8c20-0e8b69e699de,019ed211-ef4d-79c3-8c20-0e8b69e699de,,LangGraph,chain,,,2026-06-16T20:14:11.277497Z,2026-06-16T20:14:18.498839Z,7.221342,success,,231,276,507,0.0,,,,20260616T201411277497Z019ed211-ef4d-79c3-8c20-0e8b69e699de
v1-qwen3.5-2b-20260616T201411277228Z-Mbpp-6-r0,019ed211-ef4d-79c3-8c20-0e8b69e699de,019ed211-ef4e-7000-bc04-61c8e85847dc,019ed211-ef4d-79c3-8c20-0e8b69e699de,generate_solution,chain,generate_solution,1.0,2026-06-16T20:14:11.278284Z,2026-06-16T20:14:16.940049Z,5.661765,success,,231,276,507,0.0,,,,20260616T201411277497Z019ed211-ef4d-79c3-8c20-0e8b69e699de.20260616T201411278284Z019ed211-ef4e-7000-bc04-61c8e85847dc
v1-qwen3.5-2b-20260616T201411277228Z-Mbpp-6-r0,019ed211-ef4d-79c3-8c20-0e8b69e699de,019ed211-ef4e-7000-bc04-61de847c317a,019ed211-ef4e-7000-bc04-61c8e85847dc,ChatOllama,llm,generate_solution,1.0,2026-06-16T20:14:11.278489Z,2026-06-16T20:14:16.939466Z,5.660977,success,,231,276,507,0.0,qwen3.5:2b,ollama,chat,20260616T201411277497Z019ed211-ef4d-79c3-8c20-0e8b69e699de.20260616T201411278284Z019ed211-ef4e-7000-bc04-61c8e85847dc.20260616T201411278489Z019ed211-ef4e-7000-bc04-61de847c317a
v1-qwen3.5-2b-20260616T201411277228Z-Mbpp-6-r0,019ed211-ef4d-79c3-8c20-0e8b69e699de,019ed212-056c-79d0-a119-097ee47cbf18,019ed211-ef4d-79c3-8c20-0e8b69e699de,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T20:14:16.940548Z,2026-06-16T20:14:18.498635Z,1.558087,success,,0,0,0,0.0,,,,20260616T201411277497Z019ed211-ef4d-79c3-8c20-0e8b69e699de.20260616T201416940548Z019ed212-056c-79d0-a119-097ee47cbf18
v1-qwen3.5-2b-20260616T201411277228Z-Mbpp-6-r0,019ed211-ef4d-79c3-8c20-0e8b69e699de,019ed212-0b82-7c03-bce2-42d4d6948367,019ed212-056c-79d0-a119-097ee47cbf18,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T20:14:18.498149Z,2026-06-16T20:14:18.498559Z,0.00041,success,,0,0,0,0.0,,,,20260616T201411277497Z019ed211-ef4d-79c3-8c20-0e8b69e699de.20260616T201416940548Z019ed212-056c-79d0-a119-097ee47cbf18.20260616T201418498149Z019ed212-0b82-7c03-bce2-42d4d6948367
v1-qwen3.5-2b-20260616T201421253974Z-Mbpp-7-r0,019ed212-1646-7170-8fde-a6c2dc95e859,019ed212-1646-7170-8fde-a6c2dc95e859,,LangGraph,chain,,,2026-06-16T20:14:21.254281Z,2026-06-16T20:14:24.400078Z,3.145797,success,,227,73,300,0.0,,,,20260616T201421254281Z019ed212-1646-7170-8fde-a6c2dc95e859
v1-qwen3.5-2b-20260616T201421253974Z-Mbpp-7-r0,019ed212-1646-7170-8fde-a6c2dc95e859,019ed212-1647-76f1-b685-7ae53bf995bc,019ed212-1646-7170-8fde-a6c2dc95e859,generate_solution,chain,generate_solution,1.0,2026-06-16T20:14:21.255142Z,2026-06-16T20:14:22.945503Z,1.690361,success,,227,73,300,0.0,,,,20260616T201421254281Z019ed212-1646-7170-8fde-a6c2dc95e859.20260616T201421255142Z019ed212-1647-76f1-b685-7ae53bf995bc
v1-qwen3.5-2b-20260616T201421253974Z-Mbpp-7-r0,019ed212-1646-7170-8fde-a6c2dc95e859,019ed212-1647-76f1-b685-7afc847c378e,019ed212-1647-76f1-b685-7ae53bf995bc,ChatOllama,llm,generate_solution,1.0,2026-06-16T20:14:21.255343Z,2026-06-16T20:14:22.944816Z,1.689473,success,,227,73,300,0.0,qwen3.5:2b,ollama,chat,20260616T201421254281Z019ed212-1646-7170-8fde-a6c2dc95e859.20260616T201421255142Z019ed212-1647-76f1-b685-7ae53bf995bc.20260616T201421255343Z019ed212-1647-76f1-b685-7afc847c378e
v1-qwen3.5-2b-20260616T201421253974Z-Mbpp-7-r0,019ed212-1646-7170-8fde-a6c2dc95e859,019ed212-1ce2-7c81-9d1c-51a92a920afa,019ed212-1646-7170-8fde-a6c2dc95e859,run_visible_tests,chain,run_visible_tests,2.0,2026-06-16T20:14:22.946356Z,2026-06-16T20:14:24.399878Z,1.453522,success,,0,0,0,0.0,,,,20260616T201421254281Z019ed212-1646-7170-8fde-a6c2dc95e859.20260616T201422946356Z019ed212-1ce2-7c81-9d1c-51a92a920afa
v1-qwen3.5-2b-20260616T201421253974Z-Mbpp-7-r0,019ed212-1646-7170-8fde-a6c2dc95e859,019ed212-228f-75a1-a181-fdc69c49f4f6,019ed212-1ce2-7c81-9d1c-51a92a920afa,decide_after_tests,chain,run_visible_tests,2.0,2026-06-16T20:14:24.399475Z,2026-06-16T20:14:24.399808Z,0.000333,success,,0,0,0,0.0,,,,20260616T201421254281Z019ed212-1646-7170-8fde-a6c2dc95e859.20260616T201422946356Z019ed212-1ce2-7c81-9d1c-51a92a920afa.20260616T201424399475Z019ed212-228f-75a1-a181-fdc69c49f4f6
v1-qwen3.5-2b-20260616T201427189666Z-Mbpp-8-r0,019ed212-2d75-73c1-b4c1-d98139a7002a,019ed212-2d75-73c1-b4c1-d98139a7002a,,LangGraph,chain,,,2026-06-16T20:14:27.189940Z,2026-06-16T20:14:32.626448Z,5.436508,success,,303,160,463,0.0,,,,20260616T201427189940Z019ed212-2d75-73c1-b4c1-d98139a7002a
v1-qwen3.5-2b-20260616T201427189666Z-Mbpp-8-r0,019ed212-2d75-73c1-b4c1-d98139a7002a,019ed212-2d76-7091-9bd6-9c1715b01586,019ed212-2d75-73c1-b4c1-d98139a7002a,generate_solution,chain,generate_solution,1.0,2026-06-16T20:14:27.190838Z,2026-06-16T20:14:31.089258Z,3.89842,success,,303,160,463,0.0,,,,20260616T201427189940Z019ed212-2d75-73c1-b4c1-d98139a7002a.20260616T201427190838Z019ed212-2d76-7091-9bd6-9c1715b01586
v1-qwen3.5-2b-20260616T201427189666Z-Mbpp-8-r0,019ed212-2d75-73c1-b4c1-d98139a7002a,019ed212-2d77-76e3-a20f-920de7a0e75c,019ed212-2d76-7091-9bd6-9c1715b01586,ChatOllama,llm,generate_solution,1.0,2026-06-16T20:14:27.191070Z,2026-06-16T20:14:31.088563Z,3.897493,success,,303,160,463,0.0,qwen3.5:2b,ollama,chat,20260616T201427189940Z019ed212-2d75-73c1-b4c1-d98139a7002a.20260616T201427190838Z019ed212-2d76-7091-9bd6-9c1715b01586.20260616T201427191070Z019ed212-2d77-76e3-a20f-920de7a0e75c
