run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-a3e6-7080-bce4-8614badcd4d5,,LangGraph,chain,,,2026-06-17T21:09:10.758468Z,2026-06-17T21:09:20.693164Z,9.934696,success,,1574,431,2005,0.0013192,,,,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-a3fd-7ca1-ab9a-90f5c099045a,019ed76a-a3e6-7080-bce4-8614badcd4d5,understand_and_plan,chain,understand_and_plan,1.0,2026-06-17T21:09:10.781807Z,2026-06-17T21:09:15.623320Z,4.841513,success,,123,249,372,0.0004476,,,,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210910781807Z019ed76a-a3fd-7ca1-ab9a-90f5c099045a
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-a3fe-7ea0-8d78-37eceeb67d19,019ed76a-a3fd-7ca1-ab9a-90f5c099045a,ChatOpenAI,llm,understand_and_plan,1.0,2026-06-17T21:09:10.782347Z,2026-06-17T21:09:15.621546Z,4.839199,success,,123,249,372,0.0004476,gpt-4.1-mini,openai,chat,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210910781807Z019ed76a-a3fd-7ca1-ab9a-90f5c099045a.20260617T210910782347Z019ed76a-a3fe-7ea0-8d78-37eceeb67d19
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-b6e7-7461-82d5-ab6281cf136a,019ed76a-a3e6-7080-bce4-8614badcd4d5,implement_solution,chain,implement_solution,2.0,2026-06-17T21:09:15.623727Z,2026-06-17T21:09:16.775465Z,1.151738,success,,389,16,405,0.0001812,,,,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210915623727Z019ed76a-b6e7-7461-82d5-ab6281cf136a
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-b6e8-75b1-9c36-c7aa28f18d40,019ed76a-b6e7-7461-82d5-ab6281cf136a,ChatOpenAI,llm,implement_solution,2.0,2026-06-17T21:09:15.624132Z,2026-06-17T21:09:16.774608Z,1.150476,success,,389,16,405,0.0001812,gpt-4.1-mini,openai,chat,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210915623727Z019ed76a-b6e7-7461-82d5-ab6281cf136a.20260617T210915624132Z019ed76a-b6e8-75b1-9c36-c7aa28f18d40
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-bb68-7521-8785-40ae285470ce,019ed76a-a3e6-7080-bce4-8614badcd4d5,generate_tests,chain,generate_tests,3.0,2026-06-17T21:09:16.776498Z,2026-06-17T21:09:19.844371Z,3.067873,success,,409,139,548,0.000386,,,,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210916776498Z019ed76a-bb68-7521-8785-40ae285470ce
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-bb69-7ca0-8e18-748cea2a0cc4,019ed76a-bb68-7521-8785-40ae285470ce,ChatOpenAI,llm,generate_tests,3.0,2026-06-17T21:09:16.777515Z,2026-06-17T21:09:19.843623Z,3.066108,success,,409,139,548,0.000386,gpt-4.1-mini,openai,chat,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210916776498Z019ed76a-bb68-7521-8785-40ae285470ce.20260617T210916777515Z019ed76a-bb69-7ca0-8e18-748cea2a0cc4
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-c765-7681-9e8e-9d081f71574f,019ed76a-a3e6-7080-bce4-8614badcd4d5,run_tests,chain,run_tests,4.0,2026-06-17T21:09:19.845375Z,2026-06-17T21:09:19.885124Z,0.039749,success,,0,0,0,0.0,,,,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210919845375Z019ed76a-c765-7681-9e8e-9d081f71574f
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-c78d-76f3-a400-1080cfa33ef7,019ed76a-a3e6-7080-bce4-8614badcd4d5,review_solution,chain,review_solution,5.0,2026-06-17T21:09:19.885885Z,2026-06-17T21:09:20.692365Z,0.80648,success,,653,27,680,0.0003044,,,,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210919885885Z019ed76a-c78d-76f3-a400-1080cfa33ef7
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-c78e-7bb3-9ce8-bb206bb64832,019ed76a-c78d-76f3-a400-1080cfa33ef7,ChatOpenAI,llm,review_solution,5.0,2026-06-17T21:09:19.886566Z,2026-06-17T21:09:20.690124Z,0.803558,success,,653,27,680,0.0003044,gpt-4.1-mini,openai,chat,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210919885885Z019ed76a-c78d-76f3-a400-1080cfa33ef7.20260617T210919886566Z019ed76a-c78e-7bb3-9ce8-bb206bb64832
v2-gpt4.1-mini-20260617T210910757307Z-Mbpp-2-r0,019ed76a-a3e6-7080-bce4-8614badcd4d5,019ed76a-cab3-7511-896a-e2019a7d6d37,019ed76a-c78d-76f3-a400-1080cfa33ef7,decide_after_review,chain,review_solution,5.0,2026-06-17T21:09:20.691466Z,2026-06-17T21:09:20.692083Z,0.000617,success,,0,0,0,0.0,,,,20260617T210910758468Z019ed76a-a3e6-7080-bce4-8614badcd4d5.20260617T210919885885Z019ed76a-c78d-76f3-a400-1080cfa33ef7.20260617T210920691466Z019ed76a-cab3-7511-896a-e2019a7d6d37
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-d444-7b21-93e8-3b73c91c1d2a,,LangGraph,chain,,,2026-06-17T21:09:23.140104Z,2026-06-17T21:09:33.590348Z,10.450244,success,,1804,539,2343,0.001584,,,,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-d444-7b21-93e8-3b806e0af814,019ed76a-d444-7b21-93e8-3b73c91c1d2a,understand_and_plan,chain,understand_and_plan,1.0,2026-06-17T21:09:23.140890Z,2026-06-17T21:09:29.678522Z,6.537632,success,,95,344,439,0.0005884,,,,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210923140890Z019ed76a-d444-7b21-93e8-3b806e0af814
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-d445-79e1-afea-91bf1c5e0fe7,019ed76a-d444-7b21-93e8-3b806e0af814,ChatOpenAI,llm,understand_and_plan,1.0,2026-06-17T21:09:23.141102Z,2026-06-17T21:09:29.677750Z,6.536648,success,,95,344,439,0.0005884,gpt-4.1-mini,openai,chat,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210923140890Z019ed76a-d444-7b21-93e8-3b806e0af814.20260617T210923141102Z019ed76a-d445-79e1-afea-91bf1c5e0fe7
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-edcf-7061-98cf-7e4db6fd51a9,019ed76a-d444-7b21-93e8-3b73c91c1d2a,implement_solution,chain,implement_solution,2.0,2026-06-17T21:09:29.679404Z,2026-06-17T21:09:30.606210Z,0.926806,success,,456,63,519,0.0002832,,,,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210929679404Z019ed76a-edcf-7061-98cf-7e4db6fd51a9
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-edd0-75b2-9879-fe4f4856c366,019ed76a-edcf-7061-98cf-7e4db6fd51a9,ChatOpenAI,llm,implement_solution,2.0,2026-06-17T21:09:29.680195Z,2026-06-17T21:09:30.605443Z,0.925248,success,,456,63,519,0.0002832,gpt-4.1-mini,openai,chat,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210929679404Z019ed76a-edcf-7061-98cf-7e4db6fd51a9.20260617T210929680195Z019ed76a-edd0-75b2-9879-fe4f4856c366
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-f16f-7d70-aabb-0b97e6f2b591,019ed76a-d444-7b21-93e8-3b73c91c1d2a,generate_tests,chain,generate_tests,3.0,2026-06-17T21:09:30.607113Z,2026-06-17T21:09:32.592757Z,1.985644,success,,524,99,623,0.000368,,,,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210930607113Z019ed76a-f16f-7d70-aabb-0b97e6f2b591
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-f16f-7d70-aabb-0bab4cc1dc8a,019ed76a-f16f-7d70-aabb-0b97e6f2b591,ChatOpenAI,llm,generate_tests,3.0,2026-06-17T21:09:30.607918Z,2026-06-17T21:09:32.592161Z,1.984243,success,,524,99,623,0.000368,gpt-4.1-mini,openai,chat,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210930607113Z019ed76a-f16f-7d70-aabb-0b97e6f2b591.20260617T210930607918Z019ed76a-f16f-7d70-aabb-0bab4cc1dc8a
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-f931-7c63-8d6b-962ac7e75bd8,019ed76a-d444-7b21-93e8-3b73c91c1d2a,run_tests,chain,run_tests,4.0,2026-06-17T21:09:32.593355Z,2026-06-17T21:09:32.624496Z,0.031141,success,,0,0,0,0.0,,,,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210932593355Z019ed76a-f931-7c63-8d6b-962ac7e75bd8
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-f951-7210-9a8e-f85cb0b3eeb5,019ed76a-d444-7b21-93e8-3b73c91c1d2a,review_solution,chain,review_solution,5.0,2026-06-17T21:09:32.625128Z,2026-06-17T21:09:33.589773Z,0.964645,success,,729,33,762,0.0003444,,,,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210932625128Z019ed76a-f951-7210-9a8e-f85cb0b3eeb5
v2-gpt4.1-mini-20260617T210923139834Z-Mbpp-3-r0,019ed76a-d444-7b21-93e8-3b73c91c1d2a,019ed76a-f951-7210-9a8e-f8696ab93ef2,019ed76a-f951-7210-9a8e-f85cb0b3eeb5,ChatOpenAI,llm,review_solution,5.0,2026-06-17T21:09:32.625502Z,2026-06-17T21:09:33.587215Z,0.961713,success,,729,33,762,0.0003444,gpt-4.1-mini,openai,chat,20260617T210923140104Z019ed76a-d444-7b21-93e8-3b73c91c1d2a.20260617T210932625128Z019ed76a-f951-7210-9a8e-f85cb0b3eeb5.20260617T210932625502Z019ed76a-f951-7210-9a8e-f8696ab93ef2
