run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,,LangGraph,chain,,,2026-05-06T15:04:58.936888Z,2026-05-06T15:05:05.001199Z,6.064311,success,,4543,187,4730,0.02739,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-1d47-7190-8c5b-1094bd1799d0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T15:04:58.951561Z,2026-05-06T15:05:01.232905Z,2.281344,success,,870,139,1009,0.007825,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150458951561Z019dfdd2-1d47-7190-8c5b-1094bd1799d0
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-1d49-7620-89d6-19e20ec752d8,019dfdd2-1d47-7190-8c5b-1094bd1799d0,ChatAnthropic,llm,generate_query_or_respond,1.0,2026-05-06T15:04:58.953484Z,2026-05-06T15:05:01.230303Z,2.276819,success,,870,139,1009,0.007825,claude-opus-4-7,anthropic,chat,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150458951561Z019dfdd2-1d47-7190-8c5b-1094bd1799d0.20260506T150458953484Z019dfdd2-1d49-7620-89d6-19e20ec752d8
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-2630-7631-b70a-b6eeaaf4275f,019dfdd2-1d47-7190-8c5b-1094bd1799d0,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T15:05:01.232475Z,2026-05-06T15:05:01.232772Z,0.000297,success,,0,0,0,0.0,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150458951561Z019dfdd2-1d47-7190-8c5b-1094bd1799d0.20260506T150501232475Z019dfdd2-2630-7631-b70a-b6eeaaf4275f
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-2631-7012-bcdd-2a45cd810e47,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,retrieve,chain,retrieve,2.0,2026-05-06T15:05:01.233282Z,2026-05-06T15:05:03.350620Z,2.117338,success,,2344,42,2386,0.01277,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150501233282Z019dfdd2-2631-7012-bcdd-2a45cd810e47
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-2631-7012-bcdd-2a5e194a5413,019dfdd2-2631-7012-bcdd-2a45cd810e47,retrieve_documents,tool,retrieve,2.0,2026-05-06T15:05:01.233959Z,2026-05-06T15:05:01.537058Z,0.303099,success,,0,0,0,0.0,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150501233282Z019dfdd2-2631-7012-bcdd-2a45cd810e47.20260506T150501233959Z019dfdd2-2631-7012-bcdd-2a5e194a5413
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-2632-7640-a3c6-a8f5287bd5b8,019dfdd2-2631-7012-bcdd-2a5e194a5413,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T15:05:01.234425Z,2026-05-06T15:05:01.536899Z,0.302474,success,,0,0,0,0.0,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150501233282Z019dfdd2-2631-7012-bcdd-2a45cd810e47.20260506T150501233959Z019dfdd2-2631-7012-bcdd-2a5e194a5413.20260506T150501234425Z019dfdd2-2632-7640-a3c6-a8f5287bd5b8
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-2632-7640-a3c6-a90b4e625c57,019dfdd2-2631-7012-bcdd-2a45cd810e47,retrieve_documents,tool,retrieve,2.0,2026-05-06T15:05:01.234793Z,2026-05-06T15:05:01.538964Z,0.304171,success,,0,0,0,0.0,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150501233282Z019dfdd2-2631-7012-bcdd-2a45cd810e47.20260506T150501234793Z019dfdd2-2632-7640-a3c6-a90b4e625c57
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-2633-7b50-8e93-4dde9543d56d,019dfdd2-2632-7640-a3c6-a90b4e625c57,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T15:05:01.235172Z,2026-05-06T15:05:01.538857Z,0.303685,success,,0,0,0,0.0,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150501233282Z019dfdd2-2631-7012-bcdd-2a45cd810e47.20260506T150501234793Z019dfdd2-2632-7640-a3c6-a90b4e625c57.20260506T150501235172Z019dfdd2-2633-7b50-8e93-4dde9543d56d
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-2763-7da0-af2f-e37df51bf70c,019dfdd2-2631-7012-bcdd-2a45cd810e47,decide_after_retrieval,chain,retrieve,2.0,2026-05-06T15:05:01.539266Z,2026-05-06T15:05:03.350375Z,1.811109,success,,2344,42,2386,0.01277,,,,20260506T150458936888Z019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.20260506T150501233282Z019dfdd2-2631-7012-bcdd-2a45cd810e47.20260506T150501539266Z019dfdd2-2763-7da0-af2f-e37df51bf70c
