run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3.2-qwen3.5-0.8b-20260506T124015825445Z-5a8b57f25542995d1e6f1371-r0,019dfd4d-9ed2-7272-ae2d-0d49a335b94d,019dfd4d-9ed2-7272-ae2d-0d49a335b94d,,LangGraph,chain,,,2026-05-06T12:40:15.826964Z,2026-05-06T12:40:18.402663Z,2.575699,success,,335,74,409,0.0,,,,20260506T124015826964Z019dfd4d-9ed2-7272-ae2d-0d49a335b94d
v3.2-qwen3.5-0.8b-20260506T124015825445Z-5a8b57f25542995d1e6f1371-r0,019dfd4d-9ed2-7272-ae2d-0d49a335b94d,019dfd4d-9ee1-7da0-9a9c-3834f7105934,019dfd4d-9ed2-7272-ae2d-0d49a335b94d,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T12:40:15.841424Z,2026-05-06T12:40:18.402232Z,2.560808,success,,335,74,409,0.0,,,,20260506T124015826964Z019dfd4d-9ed2-7272-ae2d-0d49a335b94d.20260506T124015841424Z019dfd4d-9ee1-7da0-9a9c-3834f7105934
v3.2-qwen3.5-0.8b-20260506T124015825445Z-5a8b57f25542995d1e6f1371-r0,019dfd4d-9ed2-7272-ae2d-0d49a335b94d,019dfd4d-9ee3-70b0-aaab-0f02b8512a0e,019dfd4d-9ee1-7da0-9a9c-3834f7105934,ChatOllama,llm,generate_query_or_respond,1.0,2026-05-06T12:40:15.843388Z,2026-05-06T12:40:18.401203Z,2.557815,success,,335,74,409,0.0,qwen3.5:0.8b,ollama,chat,20260506T124015826964Z019dfd4d-9ed2-7272-ae2d-0d49a335b94d.20260506T124015841424Z019dfd4d-9ee1-7da0-9a9c-3834f7105934.20260506T124015843388Z019dfd4d-9ee3-70b0-aaab-0f02b8512a0e
v3.2-qwen3.5-0.8b-20260506T124015825445Z-5a8b57f25542995d1e6f1371-r0,019dfd4d-9ed2-7272-ae2d-0d49a335b94d,019dfd4d-a8e1-7cf1-a68c-00ed862467b2,019dfd4d-9ee1-7da0-9a9c-3834f7105934,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T12:40:18.401828Z,2026-05-06T12:40:18.402085Z,0.000257,success,,0,0,0,0.0,,,,20260506T124015826964Z019dfd4d-9ed2-7272-ae2d-0d49a335b94d.20260506T124015841424Z019dfd4d-9ee1-7da0-9a9c-3834f7105934.20260506T124018401828Z019dfd4d-a8e1-7cf1-a68c-00ed862467b2
v3.2-qwen3.5-0.8b-20260506T124018405447Z-5a8c7595554299585d9e36b6-r0,019dfd4d-a8e5-7d42-a18f-854a9079cc04,019dfd4d-a8e5-7d42-a18f-854a9079cc04,,LangGraph,chain,,,2026-05-06T12:40:18.405602Z,2026-05-06T12:40:20.540838Z,2.135236,success,,344,134,478,0.0,,,,20260506T124018405602Z019dfd4d-a8e5-7d42-a18f-854a9079cc04
v3.2-qwen3.5-0.8b-20260506T124018405447Z-5a8c7595554299585d9e36b6-r0,019dfd4d-a8e5-7d42-a18f-854a9079cc04,019dfd4d-a8e6-76d1-b49d-774a3c9110e0,019dfd4d-a8e5-7d42-a18f-854a9079cc04,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T12:40:18.406334Z,2026-05-06T12:40:20.540460Z,2.134126,success,,344,134,478,0.0,,,,20260506T124018405602Z019dfd4d-a8e5-7d42-a18f-854a9079cc04.20260506T124018406334Z019dfd4d-a8e6-76d1-b49d-774a3c9110e0
v3.2-qwen3.5-0.8b-20260506T124018405447Z-5a8c7595554299585d9e36b6-r0,019dfd4d-a8e5-7d42-a18f-854a9079cc04,019dfd4d-a8e8-7990-810d-044ce31b27ba,019dfd4d-a8e6-76d1-b49d-774a3c9110e0,ChatOllama,llm,generate_query_or_respond,1.0,2026-05-06T12:40:18.408609Z,2026-05-06T12:40:20.539150Z,2.130541,success,,344,134,478,0.0,qwen3.5:0.8b,ollama,chat,20260506T124018405602Z019dfd4d-a8e5-7d42-a18f-854a9079cc04.20260506T124018406334Z019dfd4d-a8e6-76d1-b49d-774a3c9110e0.20260506T124018408609Z019dfd4d-a8e8-7990-810d-044ce31b27ba
v3.2-qwen3.5-0.8b-20260506T124018405447Z-5a8c7595554299585d9e36b6-r0,019dfd4d-a8e5-7d42-a18f-854a9079cc04,019dfd4d-b13b-74e1-a475-13441c5f085b,019dfd4d-a8e6-76d1-b49d-774a3c9110e0,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T12:40:20.539898Z,2026-05-06T12:40:20.540296Z,0.000398,success,,0,0,0,0.0,,,,20260506T124018405602Z019dfd4d-a8e5-7d42-a18f-854a9079cc04.20260506T124018406334Z019dfd4d-a8e6-76d1-b49d-774a3c9110e0.20260506T124020539898Z019dfd4d-b13b-74e1-a475-13441c5f085b
v3.2-qwen3.5-0.8b-20260506T124020542213Z-5a85ea095542994775f606a8-r0,019dfd4d-b13e-7081-85be-0f9813e19bcf,019dfd4d-b13e-7081-85be-0f9813e19bcf,,LangGraph,chain,,,2026-05-06T12:40:20.542411Z,2026-05-06T12:40:23.229679Z,2.687268,success,,352,173,525,0.0,,,,20260506T124020542411Z019dfd4d-b13e-7081-85be-0f9813e19bcf
v3.2-qwen3.5-0.8b-20260506T124020542213Z-5a85ea095542994775f606a8-r0,019dfd4d-b13e-7081-85be-0f9813e19bcf,019dfd4d-b13f-7653-99e3-02740ab34458,019dfd4d-b13e-7081-85be-0f9813e19bcf,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T12:40:20.543303Z,2026-05-06T12:40:23.229546Z,2.686243,success,,352,173,525,0.0,,,,20260506T124020542411Z019dfd4d-b13e-7081-85be-0f9813e19bcf.20260506T124020543303Z019dfd4d-b13f-7653-99e3-02740ab34458
