run_id,trace_id,component_id,parent_run_id,name,run_type,langgraph_node,langgraph_step,start_time,end_time,duration_s,status,error,prompt_tokens,completion_tokens,total_tokens,total_cost,model_name,model_provider,model_type,dotted_order
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-81d6-7453-b219-9b7a7604b8b7,,LangGraph,chain,,,2026-05-06T11:38:58.390825Z,2026-05-06T11:39:08.224101Z,9.833276,success,,2045,66,2111,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-81e5-7970-9c70-71ce99b683d5,019dfd15-81d6-7453-b219-9b7a7604b8b7,generate_query_or_respond,chain,generate_query_or_respond,1.0,2026-05-06T11:38:58.405981Z,2026-05-06T11:39:03.718719Z,5.312738,success,,335,57,392,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113858405981Z019dfd15-81e5-7970-9c70-71ce99b683d5
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-81e8-7512-944f-7b401729d459,019dfd15-81e5-7970-9c70-71ce99b683d5,ChatOllama,llm,generate_query_or_respond,1.0,2026-05-06T11:38:58.408057Z,2026-05-06T11:39:03.714902Z,5.306845,success,,335,57,392,0.0,qwen3.5:4b,ollama,chat,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113858405981Z019dfd15-81e5-7970-9c70-71ce99b683d5.20260506T113858408057Z019dfd15-81e8-7512-944f-7b401729d459
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-96a5-7672-8e4e-c32be7d99280,019dfd15-81e5-7970-9c70-71ce99b683d5,tools_condition,chain,generate_query_or_respond,1.0,2026-05-06T11:39:03.717599Z,2026-05-06T11:39:03.718480Z,0.000881,success,,0,0,0,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113858405981Z019dfd15-81e5-7970-9c70-71ce99b683d5.20260506T113903717599Z019dfd15-96a5-7672-8e4e-c32be7d99280
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-96a7-72b1-bc58-5d9a36bda0c0,019dfd15-81d6-7453-b219-9b7a7604b8b7,retrieve,chain,retrieve,2.0,2026-05-06T11:39:03.719961Z,2026-05-06T11:39:06.340590Z,2.620629,success,,878,7,885,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113903719961Z019dfd15-96a7-72b1-bc58-5d9a36bda0c0
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-96ab-78c0-aae6-7a95d067e7c1,019dfd15-96a7-72b1-bc58-5d9a36bda0c0,retrieve_documents,tool,retrieve,2.0,2026-05-06T11:39:03.723072Z,2026-05-06T11:39:04.090203Z,0.367131,success,,0,0,0,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113903719961Z019dfd15-96a7-72b1-bc58-5d9a36bda0c0.20260506T113903723072Z019dfd15-96ab-78c0-aae6-7a95d067e7c1
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-96ab-78c0-aae6-7aa9cc62c926,019dfd15-96ab-78c0-aae6-7a95d067e7c1,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T11:39:03.723760Z,2026-05-06T11:39:04.090128Z,0.366368,success,,0,0,0,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113903719961Z019dfd15-96a7-72b1-bc58-5d9a36bda0c0.20260506T113903723072Z019dfd15-96ab-78c0-aae6-7a95d067e7c1.20260506T113903723760Z019dfd15-96ab-78c0-aae6-7aa9cc62c926
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-96ac-7be2-a80d-b3dc43e4327e,019dfd15-96a7-72b1-bc58-5d9a36bda0c0,retrieve_documents,tool,retrieve,2.0,2026-05-06T11:39:03.724316Z,2026-05-06T11:39:04.088695Z,0.364379,success,,0,0,0,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113903719961Z019dfd15-96a7-72b1-bc58-5d9a36bda0c0.20260506T113903724316Z019dfd15-96ac-7be2-a80d-b3dc43e4327e
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-96ae-7f02-a8c5-78874a295183,019dfd15-96ac-7be2-a80d-b3dc43e4327e,VectorStoreRetriever,retriever,retrieve,2.0,2026-05-06T11:39:03.726061Z,2026-05-06T11:39:04.088507Z,0.362446,success,,0,0,0,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113903719961Z019dfd15-96a7-72b1-bc58-5d9a36bda0c0.20260506T113903724316Z019dfd15-96ac-7be2-a80d-b3dc43e4327e.20260506T113903726061Z019dfd15-96ae-7f02-a8c5-78874a295183
v3-qwen3.5-4b-20260506T113858388829Z-5a8b57f25542995d1e6f1371-r0,019dfd15-81d6-7453-b219-9b7a7604b8b7,019dfd15-981a-75a3-82d6-d7bc81228fc5,019dfd15-96a7-72b1-bc58-5d9a36bda0c0,decide_after_retrieval,chain,retrieve,2.0,2026-05-06T11:39:04.090527Z,2026-05-06T11:39:06.340517Z,2.24999,success,,878,7,885,0.0,,,,20260506T113858390825Z019dfd15-81d6-7453-b219-9b7a7604b8b7.20260506T113903719961Z019dfd15-96a7-72b1-bc58-5d9a36bda0c0.20260506T113904090527Z019dfd15-981a-75a3-82d6-d7bc81228fc5
